Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,4,-,-,-,2
ACRI,785,10,1,10,237
AIELLO CALABRO,13,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,189,2,-,1,38
ALTRA ASP,72,4,-,2,6
ALTRA REGIONE,23,2,-,1,1
AMANTEA,277,3,1,5,96
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,1,1
BELMONTE CALABRO,20,-,1,-,10
BELSITO,24,1,-,-,9
BELVEDERE MARITTIMO,196,4,-,6,14
BIANCHI,24,1,-,-,5
BISIGNANO,469,10,2,-,93
BOCCHIGLIERO,36,4,-,2,2
BONIFATI,13,-,-,-,2
BUONVICINO,21,1,-,-,3
CALOPEZZATI,25,-,-,1,7
CALOVETO,36,-,-,-,13
CAMPANA,126,3,-,3,66
CANNA,-,-,-,-,-
CARIATI,206,4,-,-,75
CAROLEI,52,-,-,-,10
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,255,13,-,1,36
CASSANO ALLO IONIO,684,14,1,2,96
CASTIGLIONE COSENTINO,80,2,-,2,20
CASTROLIBERO,213,2,-,4,65
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,470,9,1,1,64
CELICO,142,5,-,1,34
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,2
CERISANO,54,-,-,2,13
CERVICATI,33,1,-,1,1
CERZETO,41,-,-,2,20
CETRARO,131,3,-,1,41
CIVITA,10,-,-,-,-
CLETO,16,1,-,1,12
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3639,72,3,30,549
COSENZA,1931,44,1,20,411
CROPALATI,17,-,-,1,2
CROSIA,391,7,-,9,187
DIAMANTE,63,2,-,1,5
DIPIGNANO,125,2,-,2,14
DOMANICO,38,-,-,1,16
FAGNANO CASTELLO,47,3,-,-,5
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,39,-,-,1,14
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,15,-,-,-,7
FRANCAVILLA MARITTIMA,44,3,-,-,2
FRASCINETO,62,2,-,-,-
FUSCALDO,162,-,-,2,61
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,22,-,-,-,6
LAGO,47,1,-,-,6
LAINO BORGO,49,3,-,1,17
LAINO CASTELLO,7,-,-,-,-
LAPPANO,18,1,-,-,7
LATTARICO,135,3,-,2,60
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,75,1,-,3,5
LUNGRO,35,3,-,-,1
LUZZI,290,6,1,1,97
MAIERA',19,-,-,-,1
MALITO,21,-,-,-,17
MALVITO,19,-,-,-,1
MANDATORICCIO,83,1,1,6,61
MANGONE,83,1,1,-,9
MARANO MARCHESATO,94,3,-,2,35
MARANO PRINCIPATO,86,-,-,1,25
MARZI,35,2,-,-,16
MENDICINO,251,-,-,4,62
MONGRASSANO,46,2,-,-,10
MONTALTO UFFUGO,610,5,-,7,200
MONTEGIORDANO,20,-,-,-,1
MORANO CALABRO,86,3,1,1,3
MORMANNO,115,6,1,-,18
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,10
PANETTIERI,10,1,-,-,-
PAOLA,272,5,-,3,90
PAPASIDERO,1,-,-,-,-
PARENTI,27,1,-,1,-
PATERNO CALABRO,116,-,-,1,7
PEDIVIGLIANO,53,-,-,1,3
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,29,2,-,2,20
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,23
RENDE,1177,21,2,14,407
ROCCA IMPERIALE,123,-,-,2,51
ROGGIANO GRAVINA,141,4,1,5,13
ROGLIANO,170,2,1,-,29
ROSE,209,4,-,1,47
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,34,3,-,-,2
ROVITO,103,1,-,-,13
SAN BASILE,10,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,38,-,-,-,16
SAN DONATO DI NINEA,10,2,-,-,-
SAN FILI,53,1,-,-,20
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,805,22,-,4,176
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,53,-,-,-,3
SAN LUCIDO,145,4,1,2,23
SAN MARCO ARGENTANO,89,3,-,3,20
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,103,5,-,2,13
SAN SOSTI,78,4,1,4,42
SAN VINCENZO LA COSTA,39,4,-,-,6
SANGINETO,18,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,-
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,53,2,-,-,3
SANTA SOFIA D'EPIRO,67,2,-,3,5
SANT'AGATA DI ESARO,30,2,-,1,8
SANTO STEFANO DI ROGLIANO,71,-,-,1,16
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,4
SCALEA,122,3,-,-,10
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,140,7,1,2,19
SPEZZANO DELLA SILA,181,9,-,3,38
TARSIA,20,1,-,-,8
TERRANOVA DA SIBARI,215,5,-,5,61
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,232,14,-,1,42
TORTORA,179,1,-,-,57
TREBISACCE,111,6,-,3,32
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,45,-,1,-,19
VILLAPIANA,83,-,-,2,23
ZUMPANO,127,1,1,1,25
