Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,2
ACQUAPPESA,3,-,-,-,1
ACRI,699,9,1,14,200
AIELLO CALABRO,11,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,27
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,19,-,1,1,11
ALTOMONTE,187,2,-,3,69
ALTRA ASP,69,2,2,2,12
ALTRA REGIONE,24,2,-,1,5
AMANTEA,250,3,1,4,79
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,24,1,-,-,14
BELVEDERE MARITTIMO,187,4,1,3,9
BIANCHI,24,1,-,-,5
BISIGNANO,416,9,-,2,134
BOCCHIGLIERO,35,4,-,1,2
BONIFATI,12,-,-,1,1
BUONVICINO,21,1,-,-,3
CALOPEZZATI,23,-,-,1,10
CALOVETO,28,-,-,-,6
CAMPANA,117,3,-,3,57
CANNA,-,-,-,-,-
CARIATI,197,4,-,2,92
CAROLEI,48,-,-,-,9
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,240,13,-,1,34
CASSANO ALLO IONIO,631,13,-,3,77
CASTIGLIONE COSENTINO,67,2,-,1,9
CASTROLIBERO,184,2,-,4,50
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,453,9,-,4,52
CELICO,129,4,1,2,29
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,44,-,-,1,6
CERVICATI,32,1,-,-,19
CERZETO,33,-,-,1,20
CETRARO,104,3,-,1,14
CIVITA,10,-,-,-,-
CLETO,10,1,-,-,7
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3507,68,5,39,662
COSENZA,1760,41,2,19,372
CROPALATI,17,-,-,1,5
CROSIA,342,6,1,11,188
DIAMANTE,61,2,-,1,8
DIPIGNANO,113,2,-,1,5
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,45,2,1,-,8
FALCONARA ALBANESE,19,1,-,1,14
FIGLINE VEGLIATURO,37,-,-,2,12
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,14,-,-,-,8
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,148,-,-,3,66
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,5
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,16
LAINO BORGO,46,3,-,1,15
LAINO CASTELLO,7,-,-,-,-
LAPPANO,11,1,-,-,-
LATTARICO,95,3,-,-,29
LONGOBARDI,12,-,-,-,4
LONGOBUCCO,75,1,1,3,9
LUNGRO,34,3,-,-,1
LUZZI,240,5,-,2,72
MAIERA',19,-,-,-,1
MALITO,16,-,-,1,11
MALVITO,18,-,-,-,-
MANDATORICCIO,41,1,-,3,23
MANGONE,76,1,-,1,5
MARANO MARCHESATO,81,3,-,1,26
MARANO PRINCIPATO,75,-,-,-,19
MARZI,25,1,-,1,7
MENDICINO,233,-,-,3,66
MONGRASSANO,41,2,-,-,19
MONTALTO UFFUGO,516,5,-,8,142
MONTEGIORDANO,20,-,-,-,3
MORANO CALABRO,86,3,1,1,7
MORMANNO,110,6,-,-,31
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,18,-,-,-,13
PANETTIERI,10,1,-,-,2
PAOLA,251,4,1,1,78
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,3
PATERNO CALABRO,115,-,-,1,9
PEDIVIGLIANO,53,-,-,1,36
PIANE CRATI,52,1,-,-,7
PIETRAFITTA,10,-,-,-,-
PIETRAPAOLA,23,1,1,2,14
PLATACI,2,-,-,-,-
PRAIA A MARE,110,4,-,1,21
RENDE,1037,20,-,22,363
ROCCA IMPERIALE,78,-,-,1,9
ROGGIANO GRAVINA,130,3,-,4,16
ROGLIANO,154,1,-,1,16
ROSE,172,3,1,1,13
ROSETO CAPO SPULICO,28,-,-,1,1
ROTA GRECA,32,3,-,-,-
ROVITO,100,1,-,-,21
SAN BASILE,10,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,2
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,3,2
SAN FILI,46,1,-,-,22
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,664,21,-,3,117
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,6
SAN LUCIDO,143,4,1,2,33
SAN MARCO ARGENTANO,74,3,1,1,12
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,93,5,-,-,9
SAN SOSTI,68,4,1,4,29
SAN VINCENZO LA COSTA,38,3,-,2,7
SANGINETO,18,-,-,-,3
SANTA CATERINA ALBANESE,4,-,-,-,1
SANTA DOMENICA TALAO,15,-,-,-,8
SANTA MARIA DEL CEDRO,52,2,-,-,5
SANTA SOFIA D'EPIRO,60,2,-,-,1
SANT'AGATA DI ESARO,21,2,-,-,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,17
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,1,8
SCALEA,121,3,-,-,22
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,127,7,-,4,6
SPEZZANO DELLA SILA,169,9,-,2,29
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,194,5,1,3,48
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,210,14,-,-,29
TORTORA,166,1,-,2,54
TREBISACCE,107,5,-,5,38
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,43,-,-,1,20
VILLAPIANA,77,-,-,1,34
ZUMPANO,107,1,-,1,31
