Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,2
ACQUAPPESA,3,-,-,-,1
ACRI,697,9,1,18,235
AIELLO CALABRO,11,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,29
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,15,-,1,1,7
ALTOMONTE,163,2,-,3,57
ALTRA ASP,68,1,1,3,12
ALTRA REGIONE,23,2,-,1,4
AMANTEA,215,3,1,4,44
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,23,1,-,-,13
BELVEDERE MARITTIMO,187,4,1,3,9
BIANCHI,24,1,-,-,5
BISIGNANO,412,9,-,5,178
BOCCHIGLIERO,34,4,-,1,1
BONIFATI,11,-,-,1,-
BUONVICINO,18,1,-,-,-
CALOPEZZATI,21,-,-,1,12
CALOVETO,28,-,-,-,6
CAMPANA,97,3,-,6,46
CANNA,-,-,-,-,-
CARIATI,197,4,-,3,100
CAROLEI,47,-,-,-,15
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,238,12,-,2,58
CASSANO ALLO IONIO,626,12,-,3,84
CASTIGLIONE COSENTINO,61,1,-,1,12
CASTROLIBERO,175,1,1,3,62
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,410,8,1,3,59
CELICO,127,4,-,4,33
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,44,-,-,1,6
CERVICATI,32,1,-,-,19
CERZETO,32,-,-,1,20
CETRARO,97,3,-,1,9
CIVITA,10,-,-,-,-
CLETO,10,1,-,-,7
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3460,67,6,45,762
COSENZA,1724,39,3,17,400
CROPALATI,16,-,-,1,4
CROSIA,330,6,1,11,188
DIAMANTE,61,2,-,1,8
DIPIGNANO,112,2,-,1,6
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,45,2,1,1,13
FALCONARA ALBANESE,9,1,-,1,4
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,12,-,-,-,6
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,137,-,-,3,79
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,5
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,16
LAINO BORGO,46,3,-,1,17
LAINO CASTELLO,7,-,-,-,-
LAPPANO,11,1,-,-,-
LATTARICO,92,3,-,-,33
LONGOBARDI,12,-,-,-,5
LONGOBUCCO,75,1,1,3,12
LUNGRO,34,3,-,-,1
LUZZI,237,5,-,3,88
MAIERA',19,-,-,-,1
MALITO,15,-,-,1,10
MALVITO,18,-,-,-,1
MANDATORICCIO,28,1,-,-,14
MANGONE,75,1,-,-,5
MARANO MARCHESATO,69,3,-,2,21
MARANO PRINCIPATO,75,-,-,-,24
MARZI,24,1,-,-,7
MENDICINO,228,-,-,-,69
MONGRASSANO,41,2,-,-,23
MONTALTO UFFUGO,476,5,-,7,119
MONTEGIORDANO,20,-,-,-,3
MORANO CALABRO,81,3,1,-,4
MORMANNO,102,6,-,-,26
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,6
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,16,-,-,-,12
PANETTIERI,10,1,-,-,2
PAOLA,217,4,-,1,46
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,3
PATERNO CALABRO,115,-,-,1,10
PEDIVIGLIANO,53,-,-,1,38
PIANE CRATI,52,1,-,-,7
PIETRAFITTA,11,-,-,-,2
PIETRAPAOLA,21,1,-,1,14
PLATACI,2,-,-,-,-
PRAIA A MARE,109,4,-,2,19
RENDE,988,20,-,18,364
ROCCA IMPERIALE,73,-,-,-,7
ROGGIANO GRAVINA,129,3,-,4,23
ROGLIANO,145,1,-,1,13
ROSE,167,3,-,2,8
ROSETO CAPO SPULICO,28,-,-,1,3
ROTA GRECA,32,2,1,-,-
ROVITO,100,1,-,-,23
SAN BASILE,8,-,-,-,2
SAN BENEDETTO ULLANO,26,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,3,3
SAN FILI,46,1,-,-,23
SAN GIORGIO ALBANESE,25,2,-,1,10
SAN GIOVANNI IN FIORE,662,21,-,3,140
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,7
SAN LUCIDO,128,4,1,2,21
SAN MARCO ARGENTANO,75,3,-,3,19
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,18,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,89,5,-,-,5
SAN SOSTI,56,4,-,1,28
SAN VINCENZO LA COSTA,36,2,-,2,6
SANGINETO,17,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,8
SANTA MARIA DEL CEDRO,51,2,-,-,4
SANTA SOFIA D'EPIRO,60,2,-,-,1
SANT'AGATA DI ESARO,21,2,-,-,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,18
SARACENA,36,2,-,-,5
SCALA COELI,20,5,-,1,8
SCALEA,117,3,-,-,19
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,119,7,-,2,22
SPEZZANO DELLA SILA,164,9,-,2,28
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,171,5,-,2,58
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,198,14,-,-,21
TORTORA,154,1,-,1,43
TREBISACCE,94,5,-,4,33
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,40,-,-,-,18
VILLAPIANA,65,-,-,1,25
ZUMPANO,104,-,1,-,37
