Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,2
ACQUAPPESA,3,-,-,-,1
ACRI,697,9,1,13,208
AIELLO CALABRO,11,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,27
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,16,-,1,1,8
ALTOMONTE,179,2,-,3,71
ALTRA ASP,70,1,3,2,13
ALTRA REGIONE,24,2,-,1,5
AMANTEA,233,3,1,4,62
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,24,1,-,-,14
BELVEDERE MARITTIMO,187,4,1,3,9
BIANCHI,24,1,-,-,5
BISIGNANO,416,9,-,4,152
BOCCHIGLIERO,35,4,-,1,2
BONIFATI,12,-,-,1,1
BUONVICINO,18,1,-,-,-
CALOPEZZATI,21,-,-,1,11
CALOVETO,28,-,-,-,6
CAMPANA,116,3,-,6,65
CANNA,-,-,-,-,-
CARIATI,197,4,-,2,100
CAROLEI,48,-,-,-,9
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,240,13,-,1,39
CASSANO ALLO IONIO,631,12,-,4,86
CASTIGLIONE COSENTINO,66,2,-,1,13
CASTROLIBERO,183,2,-,3,58
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,430,9,-,4,75
CELICO,129,4,-,3,30
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,44,-,-,1,6
CERVICATI,32,1,-,-,19
CERZETO,33,-,-,1,21
CETRARO,98,3,-,1,10
CIVITA,10,-,-,-,-
CLETO,10,1,-,-,7
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3475,69,5,42,741
COSENZA,1756,40,2,16,403
CROPALATI,17,-,-,1,5
CROSIA,339,6,1,10,197
DIAMANTE,61,2,-,1,8
DIPIGNANO,113,2,-,1,6
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,45,2,1,1,11
FALCONARA ALBANESE,15,1,-,1,10
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,14,-,-,-,8
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,145,-,-,3,81
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,5
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,16
LAINO BORGO,46,3,-,1,15
LAINO CASTELLO,7,-,-,-,-
LAPPANO,11,1,-,-,-
LATTARICO,95,3,-,-,29
LONGOBARDI,12,-,-,-,5
LONGOBUCCO,75,1,1,3,9
LUNGRO,34,3,-,-,1
LUZZI,240,5,-,2,89
MAIERA',19,-,-,-,1
MALITO,16,-,-,2,10
MALVITO,18,-,-,-,-
MANDATORICCIO,39,1,-,1,24
MANGONE,76,1,-,1,5
MARANO MARCHESATO,81,3,-,1,32
MARANO PRINCIPATO,76,-,-,-,20
MARZI,25,1,-,1,7
MENDICINO,229,-,-,-,66
MONGRASSANO,41,2,-,-,19
MONTALTO UFFUGO,510,5,-,7,144
MONTEGIORDANO,20,-,-,-,3
MORANO CALABRO,86,3,1,-,8
MORMANNO,110,6,-,-,33
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,6
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,18,-,-,-,14
PANETTIERI,10,1,-,-,2
PAOLA,235,4,1,-,64
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,3
PATERNO CALABRO,115,-,-,1,10
PEDIVIGLIANO,53,-,-,1,36
PIANE CRATI,52,1,-,-,7
PIETRAFITTA,11,-,-,-,1
PIETRAPAOLA,22,1,-,2,14
PLATACI,2,-,-,-,-
PRAIA A MARE,110,4,-,2,20
RENDE,1033,20,-,19,387
ROCCA IMPERIALE,77,-,-,-,11
ROGGIANO GRAVINA,129,3,-,4,15
ROGLIANO,146,1,-,1,14
ROSE,172,3,-,2,13
ROSETO CAPO SPULICO,28,-,-,1,3
ROTA GRECA,32,2,1,-,-
ROVITO,100,1,-,-,23
SAN BASILE,8,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,2
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,3,2
SAN FILI,46,1,-,-,22
SAN GIORGIO ALBANESE,25,2,-,1,10
SAN GIOVANNI IN FIORE,663,21,-,3,119
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,6
SAN LUCIDO,138,4,1,2,31
SAN MARCO ARGENTANO,74,3,1,2,11
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,93,5,-,-,9
SAN SOSTI,63,4,1,3,29
SAN VINCENZO LA COSTA,37,2,-,2,7
SANGINETO,17,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,1
SANTA DOMENICA TALAO,15,-,-,-,8
SANTA MARIA DEL CEDRO,51,2,-,-,4
SANTA SOFIA D'EPIRO,60,2,-,-,1
SANT'AGATA DI ESARO,21,2,-,-,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,17
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,1,8
SCALEA,117,3,-,-,19
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,120,7,-,2,6
SPEZZANO DELLA SILA,168,9,-,2,28
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,180,5,1,3,48
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,209,14,-,-,32
TORTORA,159,1,-,1,48
TREBISACCE,107,5,-,5,45
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,42,-,-,-,20
VILLAPIANA,77,-,-,1,34
ZUMPANO,106,1,-,-,32
