Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,3,-,-,-,1
ACRI,772,9,1,10,256
AIELLO CALABRO,12,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,27
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,21,-,-,1,14
ALTOMONTE,189,2,-,2,35
ALTRA ASP,69,3,1,2,6
ALTRA REGIONE,23,2,-,1,2
AMANTEA,274,3,1,6,100
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,19,-,-,-,10
BELSITO,23,1,-,-,13
BELVEDERE MARITTIMO,194,4,1,3,14
BIANCHI,24,1,-,-,5
BISIGNANO,444,9,-,1,155
BOCCHIGLIERO,35,4,-,1,2
BONIFATI,12,-,-,1,1
BUONVICINO,21,1,-,-,3
CALOPEZZATI,24,-,-,1,10
CALOVETO,35,-,-,-,13
CAMPANA,119,3,-,4,59
CANNA,-,-,-,-,-
CARIATI,200,4,-,2,75
CAROLEI,49,-,-,-,8
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,241,13,-,1,29
CASSANO ALLO IONIO,682,13,-,3,101
CASTIGLIONE COSENTINO,72,2,-,1,14
CASTROLIBERO,189,2,-,4,47
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,454,9,1,1,31
CELICO,136,4,1,1,36
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,46,-,-,1,7
CERVICATI,35,1,-,2,4
CERZETO,34,-,-,2,20
CETRARO,114,3,-,1,24
CIVITA,10,-,-,-,-
CLETO,14,1,-,-,11
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3586,69,3,32,619
COSENZA,1815,42,1,20,384
CROPALATI,17,-,-,1,2
CROSIA,370,6,1,12,187
DIAMANTE,61,2,-,1,4
DIPIGNANO,117,2,-,2,6
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,47,3,-,-,5
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,14,-,-,-,7
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,156,-,-,2,61
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
