Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,2
ACQUAPPESA,3,-,-,-,1
ACRI,697,8,2,22,261
AIELLO CALABRO,11,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,31
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,14,-,1,1,6
ALTOMONTE,155,2,-,4,51
ALTRA ASP,68,1,1,3,12
ALTRA REGIONE,23,2,-,1,4
AMANTEA,215,3,1,4,44
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,21,1,-,-,11
BELVEDERE MARITTIMO,186,4,1,2,9
BIANCHI,24,1,-,-,5
BISIGNANO,411,9,-,7,175
BOCCHIGLIERO,34,4,-,1,1
BONIFATI,11,-,-,1,-
BUONVICINO,18,1,-,-,-
CALOPEZZATI,21,-,-,-,13
CALOVETO,28,-,-,-,6
CAMPANA,97,3,-,6,46
CANNA,-,-,-,-,-
CARIATI,197,4,-,3,100
CAROLEI,47,-,-,-,16
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,238,11,1,1,61
CASSANO ALLO IONIO,613,12,-,4,71
CASTIGLIONE COSENTINO,61,1,-,-,13
CASTROLIBERO,172,1,1,2,60
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,406,8,1,3,55
CELICO,127,4,-,4,33
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,44,-,-,1,6
CERVICATI,33,1,-,-,20
CERZETO,32,-,-,1,20
CETRARO,97,3,-,1,9
CIVITA,10,-,-,-,-
CLETO,10,1,-,-,7
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3429,67,7,45,732
COSENZA,1713,39,3,17,409
CROPALATI,15,-,-,1,3
CROSIA,303,6,1,11,161
DIAMANTE,61,2,-,1,8
DIPIGNANO,112,2,-,1,8
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,45,2,1,1,13
FALCONARA ALBANESE,9,1,-,1,4
FIGLINE VEGLIATURO,36,-,-,1,12
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,12,-,-,-,6
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,136,-,-,2,79
GRIMALDI,20,-,-,-,2
GRISOLIA,20,-,-,-,5
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,1,15
LAINO BORGO,45,3,-,1,16
LAINO CASTELLO,7,-,-,-,-
LAPPANO,11,1,-,-,-
LATTARICO,92,3,-,-,33
LONGOBARDI,12,-,-,-,5
LONGOBUCCO,70,1,1,3,7
LUNGRO,34,3,-,-,1
LUZZI,237,5,-,3,88
MAIERA',19,-,-,-,1
MALITO,15,-,-,1,10
MALVITO,18,-,-,-,1
MANDATORICCIO,28,1,-,-,14
MANGONE,75,1,-,-,5
MARANO MARCHESATO,69,2,1,2,21
MARANO PRINCIPATO,75,-,-,-,25
MARZI,24,1,-,-,7
MENDICINO,224,-,-,-,66
MONGRASSANO,40,2,-,-,22
MONTALTO UFFUGO,476,5,-,7,119
MONTEGIORDANO,17,-,-,-,-
MORANO CALABRO,81,3,1,1,4
MORMANNO,100,6,-,-,24
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,6
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,16,-,-,-,12
PANETTIERI,10,1,-,-,2
PAOLA,217,4,-,1,46
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,3
PATERNO CALABRO,114,-,-,1,11
PEDIVIGLIANO,53,-,-,2,38
PIANE CRATI,52,1,-,-,7
PIETRAFITTA,11,-,-,-,2
PIETRAPAOLA,18,1,-,1,11
PLATACI,2,-,-,-,-
PRAIA A MARE,109,4,-,2,20
RENDE,970,20,-,18,351
ROCCA IMPERIALE,70,-,-,-,4
ROGGIANO GRAVINA,128,3,-,2,24
ROGLIANO,145,1,-,1,15
ROSE,167,3,-,2,8
ROSETO CAPO SPULICO,28,-,-,1,3
ROTA GRECA,32,2,1,-,-
ROVITO,99,1,-,-,22
SAN BASILE,8,-,-,-,2
SAN BENEDETTO ULLANO,26,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,3,3
SAN FILI,46,1,-,-,23
SAN GIORGIO ALBANESE,25,2,-,1,10
SAN GIOVANNI IN FIORE,644,21,-,3,122
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,7
SAN LUCIDO,128,4,1,3,21
SAN MARCO ARGENTANO,75,3,-,3,19
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,18,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,89,5,-,-,5
SAN SOSTI,56,3,-,1,28
SAN VINCENZO LA COSTA,36,2,-,2,6
SANGINETO,17,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,10
SANTA MARIA DEL CEDRO,51,2,-,-,4
SANTA SOFIA D'EPIRO,60,2,-,-,1
SANT'AGATA DI ESARO,21,2,-,-,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,19
SARACENA,35,2,-,-,4
SCALA COELI,20,5,-,1,8
SCALEA,117,3,-,-,22
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,119,7,-,2,22
SPEZZANO DELLA SILA,161,9,-,1,29
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,171,5,-,2,58
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,198,14,-,-,27
TORTORA,154,1,-,1,43
TREBISACCE,94,5,-,4,33
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,40,-,-,-,19
VILLAPIANA,65,-,-,1,25
ZUMPANO,104,-,1,-,38
