Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,2
ACQUAPPESA,3,-,-,-,1
ACRI,697,9,1,15,228
AIELLO CALABRO,11,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,27
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,15,-,1,1,7
ALTOMONTE,179,2,-,3,71
ALTRA ASP,69,1,3,2,12
ALTRA REGIONE,23,2,-,1,4
AMANTEA,215,3,1,4,44
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,23,1,-,-,13
BELVEDERE MARITTIMO,187,4,-,4,9
BIANCHI,24,1,-,-,5
BISIGNANO,413,9,-,5,149
BOCCHIGLIERO,34,4,-,1,1
BONIFATI,11,-,-,1,-
BUONVICINO,18,1,-,-,-
CALOPEZZATI,21,-,-,1,11
CALOVETO,28,-,-,-,6
CAMPANA,97,3,-,6,46
CANNA,-,-,-,-,-
CARIATI,197,4,-,2,101
CAROLEI,47,-,-,-,11
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,240,13,-,1,44
CASSANO ALLO IONIO,628,12,-,3,84
CASTIGLIONE COSENTINO,64,2,-,-,13
CASTROLIBERO,181,2,-,3,56
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,429,9,1,2,76
CELICO,127,4,-,4,32
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,44,-,-,1,6
CERVICATI,32,1,-,-,19
CERZETO,32,-,-,1,20
CETRARO,97,3,-,1,9
CIVITA,10,-,-,-,-
CLETO,10,1,-,-,7
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3463,67,6,44,736
COSENZA,1731,40,3,16,381
CROPALATI,17,-,-,1,5
CROSIA,332,6,1,11,189
DIAMANTE,61,2,-,1,8
DIPIGNANO,113,2,-,1,6
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,45,2,1,1,11
FALCONARA ALBANESE,9,1,-,1,4
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,12,-,-,-,6
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,137,-,-,3,75
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,5
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,16
LAINO BORGO,46,3,-,1,15
LAINO CASTELLO,7,-,-,-,-
LAPPANO,11,1,-,-,-
LATTARICO,95,3,-,-,29
LONGOBARDI,12,-,-,-,5
LONGOBUCCO,75,1,1,3,9
LUNGRO,34,3,-,-,1
LUZZI,238,5,-,2,88
MAIERA',19,-,-,-,1
MALITO,15,-,-,1,10
MALVITO,18,-,-,-,-
MANDATORICCIO,28,1,-,-,14
MANGONE,75,1,-,-,5
MARANO MARCHESATO,75,3,-,1,26
MARANO PRINCIPATO,76,-,-,-,20
MARZI,24,1,-,-,7
MENDICINO,229,-,-,-,66
MONGRASSANO,41,2,-,-,19
MONTALTO UFFUGO,487,5,-,6,122
MONTEGIORDANO,20,-,-,-,3
MORANO CALABRO,86,3,1,-,9
MORMANNO,110,6,-,-,34
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,6
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,18,-,-,-,14
PANETTIERI,10,1,-,-,2
PAOLA,217,4,1,-,46
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,3
PATERNO CALABRO,115,-,-,1,10
PEDIVIGLIANO,53,-,-,1,36
PIANE CRATI,52,1,-,-,7
PIETRAFITTA,11,-,-,-,1
PIETRAPAOLA,22,1,-,2,14
PLATACI,2,-,-,-,-
PRAIA A MARE,109,4,-,2,19
RENDE,1018,20,-,18,373
ROCCA IMPERIALE,77,-,-,-,11
ROGGIANO GRAVINA,129,3,-,4,15
ROGLIANO,146,1,-,1,14
ROSE,170,3,-,2,11
ROSETO CAPO SPULICO,28,-,-,1,3
ROTA GRECA,32,2,1,-,-
ROVITO,100,1,-,-,23
SAN BASILE,8,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,2
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,3,2
SAN FILI,46,1,-,-,22
SAN GIORGIO ALBANESE,25,2,-,1,10
SAN GIOVANNI IN FIORE,663,21,-,2,120
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,52,-,-,-,6
SAN LUCIDO,128,4,1,2,21
SAN MARCO ARGENTANO,74,3,1,2,11
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,18,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,89,5,-,-,5
SAN SOSTI,57,4,-,1,26
SAN VINCENZO LA COSTA,36,2,-,2,6
SANGINETO,17,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,1
SANTA DOMENICA TALAO,15,-,-,-,8
SANTA MARIA DEL CEDRO,51,2,-,-,4
SANTA SOFIA D'EPIRO,60,2,-,-,1
SANT'AGATA DI ESARO,21,2,-,-,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,17
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,1,8
SCALEA,117,3,-,-,19
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,120,7,-,2,9
SPEZZANO DELLA SILA,165,9,-,2,25
TARSIA,19,1,-,-,7
TERRANOVA DA SIBARI,177,5,-,3,47
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,201,14,-,-,24
TORTORA,156,1,-,1,45
TREBISACCE,107,5,-,4,46
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,40,-,-,-,18
VILLAPIANA,77,-,-,1,34
ZUMPANO,105,-,1,-,31
