Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,4,-,-,-,2
ACRI,778,10,-,12,234
AIELLO CALABRO,13,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,13
ALTOMONTE,189,2,-,1,38
ALTRA ASP,72,4,-,3,6
ALTRA REGIONE,23,2,-,1,1
AMANTEA,277,3,1,5,97
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,20,-,1,-,10
BELSITO,24,1,-,-,13
BELVEDERE MARITTIMO,196,4,-,6,14
BIANCHI,24,1,-,-,5
BISIGNANO,468,9,2,-,93
BOCCHIGLIERO,36,4,-,3,1
BONIFATI,13,-,-,-,2
BUONVICINO,21,1,-,-,3
CALOPEZZATI,24,-,-,1,6
CALOVETO,36,-,-,-,13
CAMPANA,126,3,-,3,66
CANNA,-,-,-,-,-
CARIATI,200,4,-,-,69
CAROLEI,52,-,-,-,11
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,255,13,-,1,37
CASSANO ALLO IONIO,683,14,-,2,96
CASTIGLIONE COSENTINO,80,2,-,2,20
CASTROLIBERO,209,2,-,5,61
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,470,9,1,1,64
CELICO,142,5,-,1,34
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,2
CERISANO,54,-,-,2,14
CERVICATI,33,1,-,1,1
CERZETO,41,-,-,2,20
CETRARO,131,3,-,1,41
CIVITA,10,-,-,-,-
CLETO,15,1,-,-,12
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3629,72,3,29,550
COSENZA,1920,44,2,22,425
CROPALATI,17,-,-,1,2
CROSIA,386,7,-,9,182
DIAMANTE,63,2,-,1,6
DIPIGNANO,125,2,-,2,14
DOMANICO,37,-,-,1,15
FAGNANO CASTELLO,47,3,-,-,5
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,39,-,-,1,15
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,15,-,-,-,7
FRANCAVILLA MARITTIMA,44,3,-,-,2
FRASCINETO,62,2,-,-,-
FUSCALDO,162,-,-,2,61
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,22,-,-,-,6
LAGO,46,1,-,-,5
LAINO BORGO,49,3,-,1,17
LAINO CASTELLO,7,-,-,-,-
LAPPANO,18,1,-,-,7
LATTARICO,135,3,-,2,60
LONGOBARDI,12,-,-,-,-
LONGOBUCCO,75,1,-,3,5
LUNGRO,35,3,-,-,1
LUZZI,290,6,1,1,97
MAIERA',19,-,-,-,1
MALITO,21,-,-,-,17
MALVITO,19,-,-,-,1
MANDATORICCIO,66,1,1,5,45
MANGONE,83,1,1,-,10
MARANO MARCHESATO,94,3,-,2,35
MARANO PRINCIPATO,86,-,-,1,25
MARZI,35,2,-,-,17
MENDICINO,249,-,-,4,66
MONGRASSANO,46,2,-,-,10
MONTALTO UFFUGO,609,5,-,7,200
MONTEGIORDANO,20,-,-,-,1
MORANO CALABRO,86,3,1,1,3
MORMANNO,115,6,1,-,18
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,10
PANETTIERI,10,1,-,-,2
PAOLA,272,5,-,3,90
PAPASIDERO,1,-,-,-,-
PARENTI,27,1,-,1,-
PATERNO CALABRO,116,-,-,1,8
PEDIVIGLIANO,53,-,-,1,11
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,15,-,-,-,5
PIETRAPAOLA,24,2,-,2,15
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,23
RENDE,1177,21,2,15,417
ROCCA IMPERIALE,123,-,-,2,51
ROGGIANO GRAVINA,141,4,1,5,13
ROGLIANO,170,2,1,-,35
ROSE,209,4,-,1,47
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,34,3,-,-,2
ROVITO,102,1,-,-,12
SAN BASILE,10,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,33,-,-,-,11
SAN DONATO DI NINEA,10,2,-,-,-
SAN FILI,53,1,-,-,20
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,788,22,1,3,159
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,53,-,-,-,3
SAN LUCIDO,145,4,1,2,23
SAN MARCO ARGENTANO,89,3,-,3,20
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,103,5,-,2,14
SAN SOSTI,78,4,1,5,41
SAN VINCENZO LA COSTA,39,4,-,-,6
SANGINETO,18,-,-,-,3
SANTA CATERINA ALBANESE,4,-,-,-,-
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,53,2,-,-,4
SANTA SOFIA D'EPIRO,67,2,-,3,5
SANT'AGATA DI ESARO,30,2,-,2,7
SANTO STEFANO DI ROGLIANO,70,-,-,-,19
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,4
SCALEA,122,3,-,-,14
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,140,7,1,1,20
SPEZZANO DELLA SILA,177,9,-,3,34
TARSIA,20,1,-,-,8
TERRANOVA DA SIBARI,215,5,-,5,61
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,232,14,-,1,42
TORTORA,180,1,-,1,61
TREBISACCE,111,6,-,3,32
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,45,-,1,-,19
VILLAPIANA,82,-,-,1,23
ZUMPANO,124,1,1,1,22
