Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,3,-,-,-,1
ACRI,749,9,1,12,241
AIELLO CALABRO,11,-,-,-,3
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,27
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,20,-,-,1,13
ALTOMONTE,187,2,-,3,69
ALTRA ASP,72,3,1,2,13
ALTRA REGIONE,23,2,-,1,4
AMANTEA,253,3,1,5,81
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,23,1,-,-,13
BELVEDERE MARITTIMO,188,4,1,3,8
BIANCHI,24,1,-,-,5
BISIGNANO,417,9,-,2,134
BOCCHIGLIERO,35,4,-,1,2
BONIFATI,12,-,-,1,1
BUONVICINO,21,1,-,-,3
CALOPEZZATI,23,-,-,1,10
CALOVETO,28,-,-,-,6
CAMPANA,117,3,-,4,57
CANNA,-,-,-,-,-
CARIATI,198,4,-,2,93
CAROLEI,48,-,-,-,9
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,241,13,-,-,33
CASSANO ALLO IONIO,672,13,-,2,119
CASTIGLIONE COSENTINO,72,2,-,1,14
CASTROLIBERO,187,2,-,4,49
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,453,9,-,2,51
CELICO,130,4,1,1,30
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,44,-,-,1,6
CERVICATI,33,1,-,1,18
CERZETO,34,-,-,2,20
CETRARO,106,3,-,1,16
CIVITA,10,-,-,-,-
CLETO,10,1,-,-,7
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3539,69,3,37,639
COSENZA,1784,41,1,21,386
CROPALATI,17,-,-,1,5
CROSIA,346,6,1,11,189
DIAMANTE,61,2,-,1,4
DIPIGNANO,113,2,-,1,5
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,45,3,-,-,8
FALCONARA ALBANESE,19,1,-,1,14
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,14,-,-,-,8
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,149,-,-,3,67
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
