Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,4,-,-,-,2
ACRI,777,9,1,12,235
AIELLO CALABRO,12,-,-,-,3
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,13
ALTOMONTE,189,2,-,1,34
ALTRA ASP,74,4,-,3,8
ALTRA REGIONE,23,2,-,1,1
AMANTEA,275,3,1,5,98
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,19,-,-,-,10
BELSITO,23,1,-,-,12
BELVEDERE MARITTIMO,196,4,-,6,14
BIANCHI,24,1,-,-,5
BISIGNANO,457,9,2,-,82
BOCCHIGLIERO,36,4,-,3,1
BONIFATI,13,-,-,-,2
BUONVICINO,21,1,-,-,3
CALOPEZZATI,24,-,-,1,6
CALOVETO,36,-,-,-,13
CAMPANA,126,3,-,3,66
CANNA,-,-,-,-,-
CARIATI,200,4,-,-,69
CAROLEI,52,-,-,-,11
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,255,13,-,1,37
CASSANO ALLO IONIO,683,14,-,2,96
CASTIGLIONE COSENTINO,73,2,-,2,13
CASTROLIBERO,205,2,-,5,57
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,470,9,1,1,41
CELICO,141,5,-,1,33
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,2
CERISANO,51,-,-,2,11
CERVICATI,33,1,-,1,1
CERZETO,41,-,-,2,23
CETRARO,116,3,-,1,26
CIVITA,10,-,-,-,-
CLETO,13,1,-,-,10
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3629,72,3,29,557
COSENZA,1906,43,2,23,414
CROPALATI,17,-,-,1,2
CROSIA,386,7,-,9,182
DIAMANTE,63,2,-,1,6
DIPIGNANO,125,2,-,2,14
DOMANICO,37,-,-,1,15
FAGNANO CASTELLO,47,3,-,-,5
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,14,-,-,-,6
FRANCAVILLA MARITTIMA,44,3,-,-,3
FRASCINETO,62,2,-,-,-
FUSCALDO,160,-,-,2,59
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,-,6
LAINO BORGO,49,3,-,1,17
LAINO CASTELLO,7,-,-,-,-
LAPPANO,17,1,-,-,6
LATTARICO,124,3,-,2,49
LONGOBARDI,12,-,-,-,-
LONGOBUCCO,75,1,-,3,5
LUNGRO,35,3,-,-,1
LUZZI,276,5,1,1,84
MAIERA',19,-,-,-,1
MALITO,21,-,-,1,16
MALVITO,19,-,-,-,1
MANDATORICCIO,66,1,1,5,45
MANGONE,81,1,1,-,8
MARANO MARCHESATO,94,3,-,2,36
MARANO PRINCIPATO,78,-,-,1,17
MARZI,31,2,-,-,13
MENDICINO,249,-,-,4,66
MONGRASSANO,46,2,-,-,10
MONTALTO UFFUGO,599,5,-,8,190
MONTEGIORDANO,20,-,-,-,1
MORANO CALABRO,86,3,1,1,3
MORMANNO,115,6,1,-,18
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,11
PANETTIERI,10,1,-,-,2
PAOLA,265,5,-,2,84
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,-
PATERNO CALABRO,116,-,-,1,8
PEDIVIGLIANO,53,-,-,-,35
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,15,-,-,-,5
PIETRAPAOLA,24,2,-,2,15
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,23
RENDE,1155,20,2,18,395
ROCCA IMPERIALE,123,-,-,2,51
ROGGIANO GRAVINA,141,4,1,5,13
ROGLIANO,167,2,-,1,26
ROSE,200,4,-,1,39
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,34,3,-,-,2
ROVITO,102,1,-,-,12
SAN BASILE,10,-,-,-,2
SAN BENEDETTO ULLANO,27,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,30,-,-,-,8
SAN DONATO DI NINEA,10,2,-,-,-
SAN FILI,53,1,-,-,20
SAN GIORGIO ALBANESE,26,2,-,1,11
SAN GIOVANNI IN FIORE,788,22,1,3,159
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,53,-,-,-,3
SAN LUCIDO,145,4,1,2,22
SAN MARCO ARGENTANO,88,3,-,3,19
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,2
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,98,5,-,2,10
SAN SOSTI,78,4,2,4,37
SAN VINCENZO LA COSTA,39,4,-,-,6
SANGINETO,18,-,-,-,3
SANTA CATERINA ALBANESE,4,-,-,-,-
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,53,2,-,-,4
SANTA SOFIA D'EPIRO,67,2,-,3,5
SANT'AGATA DI ESARO,30,2,-,2,7
SANTO STEFANO DI ROGLIANO,67,-,-,-,16
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,8
SCALEA,122,3,-,-,14
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,140,7,1,2,15
SPEZZANO DELLA SILA,173,9,-,1,32
TARSIA,20,1,-,-,8
TERRANOVA DA SIBARI,215,5,-,5,48
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,229,14,-,1,39
TORTORA,180,1,-,1,63
TREBISACCE,111,6,-,3,35
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,45,-,1,-,19
VILLAPIANA,80,-,-,1,21
ZUMPANO,124,1,1,1,25
