Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,2
ACQUAPPESA,3,-,-,-,1
ACRI,696,8,3,20,261
AIELLO CALABRO,11,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,31
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,8,-,1,1,-
ALTOMONTE,144,2,-,4,41
ALTRA ASP,68,1,2,2,13
ALTRA REGIONE,23,2,-,1,4
AMANTEA,211,3,1,3,41
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,15,1,-,-,5
BELVEDERE MARITTIMO,186,4,1,2,9
BIANCHI,24,1,-,-,5
BISIGNANO,410,9,1,5,176
BOCCHIGLIERO,34,4,-,1,1
BONIFATI,11,-,-,1,-
BUONVICINO,18,1,-,-,-
CALOPEZZATI,21,-,-,-,13
CALOVETO,28,-,-,-,7
CAMPANA,97,3,-,6,46
CANNA,-,-,-,-,-
CARIATI,192,4,-,3,99
CAROLEI,47,-,-,-,16
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,236,11,1,1,59
CASSANO ALLO IONIO,613,12,-,4,71
CASTIGLIONE COSENTINO,58,1,-,-,10
CASTROLIBERO,166,1,1,2,55
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,405,8,1,3,54
CELICO,127,4,-,4,33
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,44,-,-,1,6
CERVICATI,26,1,-,-,13
CERZETO,32,-,-,1,20
CETRARO,92,3,-,1,4
CIVITA,10,-,-,-,-
CLETO,8,1,-,-,5
COLOSIMI,9,-,-,-,3
CORIGLIANO-ROSSANO,3416,67,6,46,720
COSENZA,1691,39,2,16,395
CROPALATI,15,-,-,1,3
CROSIA,294,6,2,10,154
DIAMANTE,61,2,-,1,8
DIPIGNANO,112,2,-,1,8
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,44,2,1,1,12
FALCONARA ALBANESE,8,1,-,1,3
FIGLINE VEGLIATURO,33,-,-,1,9
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,12,-,-,-,6
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,130,-,-,1,74
GRIMALDI,18,-,-,-,-
GRISOLIA,20,-,-,-,5
GUARDIA PIEMONTESE,16,-,-,-,-
LAGO,46,1,-,1,15
LAINO BORGO,32,3,-,1,3
LAINO CASTELLO,7,-,-,-,-
LAPPANO,11,1,-,-,-
LATTARICO,92,3,-,-,33
LONGOBARDI,12,-,-,-,5
LONGOBUCCO,70,1,1,3,22
LUNGRO,34,3,-,-,1
LUZZI,234,5,-,2,86
MAIERA',19,-,-,-,1
MALITO,6,-,-,1,1
MALVITO,18,-,-,-,1
MANDATORICCIO,27,1,-,-,13
MANGONE,75,1,-,-,5
MARANO MARCHESATO,69,2,1,3,20
MARANO PRINCIPATO,75,-,-,-,25
MARZI,23,1,-,-,6
MENDICINO,222,-,-,-,64
MONGRASSANO,37,2,-,-,19
MONTALTO UFFUGO,474,5,-,6,118
MONTEGIORDANO,17,-,-,-,-
MORANO CALABRO,79,3,-,1,3
MORMANNO,98,6,-,-,22
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,6
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,16,-,-,-,12
PANETTIERI,10,1,-,-,2
PAOLA,214,4,-,1,44
PAPASIDERO,1,-,-,-,-
PARENTI,26,1,-,-,3
PATERNO CALABRO,112,-,-,1,28
PEDIVIGLIANO,53,-,-,2,38
PIANE CRATI,51,1,-,-,6
PIETRAFITTA,11,-,-,-,2
PIETRAPAOLA,14,1,-,1,7
PLATACI,2,-,-,-,-
PRAIA A MARE,109,4,-,2,20
RENDE,936,20,-,15,320
ROCCA IMPERIALE,70,-,-,-,4
ROGGIANO GRAVINA,123,3,-,1,20
ROGLIANO,143,1,-,1,13
ROSE,167,3,-,2,8
ROSETO CAPO SPULICO,28,-,-,1,3
ROTA GRECA,31,2,-,-,-
ROVITO,99,1,-,1,21
SAN BASILE,8,-,-,-,2
SAN BENEDETTO ULLANO,26,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,22,-,-,-,-
SAN DONATO DI NINEA,10,2,-,3,3
SAN FILI,45,1,-,-,22
SAN GIORGIO ALBANESE,25,2,-,1,10
SAN GIOVANNI IN FIORE,643,21,-,3,126
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,48,-,-,-,3
SAN LUCIDO,127,4,1,2,21
SAN MARCO ARGENTANO,68,3,-,2,13
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,18,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,89,5,-,-,6
SAN SOSTI,32,3,-,1,4
SAN VINCENZO LA COSTA,36,2,-,2,6
SANGINETO,17,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,10
SANTA MARIA DEL CEDRO,51,2,-,-,4
SANTA SOFIA D'EPIRO,60,2,-,-,1
SANT'AGATA DI ESARO,21,2,-,-,-
SANTO STEFANO DI ROGLIANO,67,-,-,-,19
SARACENA,35,2,-,-,4
SCALA COELI,20,5,-,1,8
SCALEA,117,3,-,-,22
SCIGLIANO,8,-,-,-,1
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,119,7,-,3,22
SPEZZANO DELLA SILA,159,9,-,1,28
TARSIA,12,1,-,-,-
TERRANOVA DA SIBARI,152,5,-,2,39
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,198,14,-,-,27
TORTORA,154,1,-,1,43
TREBISACCE,94,5,-,4,33
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,40,-,-,-,19
VILLAPIANA,65,-,-,1,25
ZUMPANO,104,-,1,-,38
