Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,3,-,-,-,1
ACRI,775,9,1,10,235
AIELLO CALABRO,12,-,-,-,3
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,13
ALTOMONTE,189,2,-,1,34
ALTRA ASP,72,4,-,3,6
ALTRA REGIONE,23,2,-,1,1
AMANTEA,275,3,1,5,98
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,19,-,-,-,10
BELSITO,23,1,-,-,12
BELVEDERE MARITTIMO,196,4,-,6,14
BIANCHI,24,1,-,-,5
BISIGNANO,450,9,1,-,76
BOCCHIGLIERO,36,4,-,3,1
BONIFATI,13,-,-,-,2
BUONVICINO,21,1,-,-,3
CALOPEZZATI,24,-,-,1,6
CALOVETO,36,-,-,-,13
CAMPANA,126,3,-,3,66
CANNA,-,-,-,-,-
CARIATI,200,4,-,-,69
CAROLEI,50,-,-,-,9
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,245,13,-,1,27
CASSANO ALLO IONIO,682,13,-,3,95
CASTIGLIONE COSENTINO,73,2,-,2,13
CASTROLIBERO,201,2,-,5,54
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,462,9,1,-,34
CELICO,139,5,-,1,31
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,2
CERISANO,51,-,-,2,11
CERVICATI,33,1,-,1,1
CERZETO,41,-,-,2,23
CETRARO,114,3,-,1,24
CIVITA,10,-,-,-,-
CLETO,13,1,-,-,10
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3629,72,3,30,556
COSENZA,1866,43,2,22,378
CROPALATI,17,-,-,1,2
CROSIA,385,7,-,10,181
DIAMANTE,61,2,-,1,4
DIPIGNANO,122,2,-,2,11
DOMANICO,36,-,-,1,14
FAGNANO CASTELLO,47,3,-,-,5
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,14,-,-,-,6
FRANCAVILLA MARITTIMA,44,3,-,-,3
FRASCINETO,62,2,-,-,-
FUSCALDO,160,-,-,3,58
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
