COMUNE;A DOMICILIO;DECEDUTI;RICOVERI;GUARITI;Totale complessivo
ALTOMONTE;2;0;1;0;3
AMANTEA;2;0;1;0;3
BELSITO;0;0;1;0;1
BOCCHIGLIERO;7;0;1;0;8
CARIATI;0;0;3;0;3
CARPANZANO;0;0;0;0;0
CASALI DEL MANCO;0;0;1;0;1
CASSANO ALLO IONIO;0;0;1;0;1
CASTROVILLARI;0;0;0;0;0
CETRARO;1;0;1;0;2
CORIGLIANO-ROSSANO;5;0;10;0;15
COSENZA;3;1;4;0;8
DIPIGNANO;0;0;0;0;0
FRANCAVILLA MARITTIMA;0;0;1;0;1
FRASCINETO;0;0;0;0;0
FUSCALDO;0;0;1;0;1
GRISOLIA;0;0;1;0;1
MANGONE;1;0;0;0;1
MARZI;1;0;0;0;1
MENDICINO;1;0;0;0;1
ORIOLO CALABRO;0;0;0;0;0
PALUDI;0;0;1;0;1
PAOLA;1;1;1;0;3
PRAIA A MARE;0;0;0;0;0
RENDE;0;1;2;0;3
ROGGIANO GRAVI0;0;0;2;0;2
ROGLIANO;7;0;5;0;12
SAN LUCIDO;10;3;4;0;17
SANTA MARIA DEL CEDRO;0;0;0;0;0
SANTO STEFANO DI ROGLIANO;3;0;2;0;5
SCALA COELI;1;0;1;0;2
TERRANOVA DA SIBARI;2;0;0;0;2
TORTORA;0;0;0;0;0
