Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,5,-,-,-,3
ACRI,789,11,2,8,221
AIELLO CALABRO,13,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,189,2,-,1,24
ALTRA ASP,73,4,-,2,6
ALTRA REGIONE,23,2,-,1,1
AMANTEA,282,4,-,3,96
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,2
BELMONTE CALABRO,24,-,1,-,14
BELSITO,24,1,-,-,9
BELVEDERE MARITTIMO,196,4,-,6,14
BIANCHI,24,1,-,-,2
BISIGNANO,491,10,1,1,86
BOCCHIGLIERO,36,4,-,2,2
BONIFATI,13,-,-,-,2
BUONVICINO,21,1,-,-,3
CALOPEZZATI,26,-,-,1,7
CALOVETO,39,-,-,-,16
CAMPANA,126,3,-,3,58
CANNA,-,-,-,-,-
CARIATI,210,4,-,2,51
CAROLEI,52,-,-,-,9
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,264,13,-,2,37
CASSANO ALLO IONIO,721,14,1,2,121
CASTIGLIONE COSENTINO,87,2,-,2,27
CASTROLIBERO,253,3,-,5,96
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,475,10,-,1,56
CELICO,142,5,-,1,33
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,2
CERISANO,62,-,-,2,17
CERVICATI,34,1,-,1,1
CERZETO,41,-,-,1,16
CETRARO,151,3,-,1,61
CIVITA,10,-,-,-,-
CLETO,16,1,-,1,11
COLOSIMI,12,-,-,-,3
CORIGLIANO-ROSSANO,3659,74,2,27,464
COSENZA,1958,44,2,21,388
CROPALATI,17,-,-,1,2
CROSIA,397,7,-,8,172
DIAMANTE,63,2,-,1,2
DIPIGNANO,125,2,-,2,14
DOMANICO,41,-,-,1,19
FAGNANO CASTELLO,47,3,-,-,5
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,39,-,-,1,14
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,15,-,-,-,5
FRANCAVILLA MARITTIMA,46,3,-,-,3
FRASCINETO,62,2,-,-,-
FUSCALDO,164,-,-,1,60
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,28,-,-,-,12
LAGO,47,1,-,-,1
LAINO BORGO,50,3,-,1,8
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,12
LATTARICO,136,3,-,2,25
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,75,1,-,2,2
LUNGRO,35,3,-,-,1
LUZZI,291,6,2,-,77
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,16
MALVITO,26,-,-,-,8
MANDATORICCIO,97,2,-,7,73
MANGONE,83,1,1,-,9
MARANO MARCHESATO,94,3,-,2,34
MARANO PRINCIPATO,86,-,-,-,17
MARZI,35,2,-,-,16
MENDICINO,262,-,-,4,62
MONGRASSANO,47,2,-,-,4
MONTALTO UFFUGO,624,5,1,5,139
MONTEGIORDANO,20,-,-,-,1
MORANO CALABRO,89,4,-,1,6
MORMANNO,117,7,-,-,13
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,6
PANETTIERI,10,1,-,-,-
PAOLA,275,7,-,1,75
PAPASIDERO,1,-,-,-,-
PARENTI,27,1,-,1,-
PATERNO CALABRO,116,-,-,1,6
PEDIVIGLIANO,53,-,-,2,3
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,41,2,-,4,30
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,13
RENDE,1196,21,2,12,369
ROCCA IMPERIALE,130,-,1,1,58
ROGGIANO GRAVINA,147,4,1,6,16
ROGLIANO,170,2,1,1,28
ROSE,210,4,-,1,34
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,34,3,-,-,2
ROVITO,104,1,-,-,12
SAN BASILE,10,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,38,-,-,-,16
SAN DONATO DI NINEA,10,2,-,-,-
SAN FILI,53,1,-,-,17
SAN GIORGIO ALBANESE,26,2,-,1,6
SAN GIOVANNI IN FIORE,808,22,-,4,160
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,53,-,-,-,3
SAN LUCIDO,146,4,1,1,21
SAN MARCO ARGENTANO,93,3,-,3,16
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,106,5,-,2,16
SAN SOSTI,81,4,1,4,26
SAN VINCENZO LA COSTA,39,4,-,-,6
SANGINETO,18,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,-
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,57,2,-,-,7
SANTA SOFIA D'EPIRO,68,2,-,3,6
SANT'AGATA DI ESARO,39,2,-,1,17
SANTO STEFANO DI ROGLIANO,71,-,-,1,15
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,4
SCALEA,122,3,-,-,7
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,150,7,1,1,25
SPEZZANO DELLA SILA,187,9,-,4,41
TARSIA,20,1,-,-,5
TERRANOVA DA SIBARI,220,5,-,5,46
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,240,14,-,1,27
TORTORA,179,1,-,-,42
TREBISACCE,114,6,-,2,28
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,45,-,-,1,19
VILLAPIANA,88,-,-,2,28
ZUMPANO,128,1,1,1,25
