Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,16,-,-,-,10
ACQUAPPESA,13,1,-,-,9
ACRI,827,14,-,8,53
AIELLO CALABRO,14,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,1,2
ALTOMONTE,198,2,-,-,4
ALTRA ASP,78,4,-,1,7
ALTRA REGIONE,23,2,-,-,-
AMANTEA,293,4,1,1,16
AMENDOLARA,21,-,-,-,1
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,36,-,-,1,18
BELSITO,29,1,-,-,6
BELVEDERE MARITTIMO,203,4,-,1,11
BIANCHI,25,1,-,-,1
BISIGNANO,511,10,-,1,81
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,3
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,3
CALOVETO,52,-,-,2,15
CAMPANA,129,3,-,1,12
CANNA,3,-,-,1,2
CARIATI,231,5,-,1,32
CAROLEI,52,-,-,-,2
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,276,13,-,2,28
CASSANO ALLO IONIO,827,15,1,3,112
CASTIGLIONE COSENTINO,94,3,-,-,27
CASTROLIBERO,261,3,-,4,70
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,522,10,-,3,42
CELICO,145,5,1,-,13
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,2
CERISANO,64,-,-,-,19
CERVICATI,40,1,-,-,4
CERZETO,48,-,-,1,15
CETRARO,179,3,-,-,74
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,5
COLOSIMI,13,-,-,-,1
CORIGLIANO-ROSSANO,3764,77,1,11,110
COSENZA,2144,48,-,20,322
CROPALATI,17,-,-,-,-
CROSIA,416,7,-,5,24
DIAMANTE,65,2,-,1,3
DIPIGNANO,127,4,-,1,7
DOMANICO,54,-,-,1,20
FAGNANO CASTELLO,47,3,-,-,1
FALCONARA ALBANESE,22,1,-,-,2
FIGLINE VEGLIATURO,39,-,-,-,2
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,16,-,-,-,1
FRANCAVILLA MARITTIMA,62,3,-,-,16
FRASCINETO,63,2,-,-,1
FUSCALDO,178,-,-,1,26
GRIMALDI,24,-,-,1,2
GRISOLIA,22,-,-,1,1
GUARDIA PIEMONTESE,40,-,-,1,23
LAGO,47,1,-,-,1
LAINO BORGO,56,3,-,-,10
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,10
LATTARICO,141,3,-,1,26
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,-
LUNGRO,41,3,-,1,5
LUZZI,307,7,-,1,35
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,5
MALVITO,29,-,-,1,3
MANDATORICCIO,110,2,-,3,68
MANGONE,88,2,-,-,12
MARANO MARCHESATO,104,5,-,1,21
MARANO PRINCIPATO,95,-,-,-,20
MARZI,35,2,-,-,10
MENDICINO,279,-,-,4,29
MONGRASSANO,52,2,-,-,4
MONTALTO UFFUGO,673,7,1,4,147
MONTEGIORDANO,21,-,-,-,1
MORANO CALABRO,95,4,-,-,4
MORMANNO,119,7,-,1,2
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,282,7,-,2,25
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,18
PATERNO CALABRO,117,-,-,-,2
PEDIVIGLIANO,61,-,-,2,8
PIANE CRATI,60,1,-,-,8
PIETRAFITTA,16,-,-,-,1
PIETRAPAOLA,46,2,-,2,23
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,9
RENDE,1265,24,1,3,211
ROCCA IMPERIALE,141,1,-,-,12
ROGGIANO GRAVINA,175,5,-,4,27
ROGLIANO,189,3,-,1,33
ROSE,213,4,-,1,6
ROSETO CAPO SPULICO,28,-,-,-,-
ROTA GRECA,35,3,-,-,3
ROVITO,108,1,-,-,7
SAN BASILE,12,-,-,-,1
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,3
SAN DONATO DI NINEA,24,2,1,-,13
SAN FILI,53,1,-,-,6
SAN GIORGIO ALBANESE,26,2,-,1,-
SAN GIOVANNI IN FIORE,866,25,1,2,64
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,67,-,-,-,11
SAN LUCIDO,148,5,-,-,5
SAN MARCO ARGENTANO,120,3,1,2,24
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,110,5,-,2,14
SAN SOSTI,86,5,-,1,6
SAN VINCENZO LA COSTA,42,4,-,-,3
SANGINETO,19,-,-,-,1
SANTA CATERINA ALBANESE,9,-,-,-,4
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,9
SANTA SOFIA D'EPIRO,71,2,-,-,5
SANT'AGATA DI ESARO,40,2,-,-,9
SANTO STEFANO DI ROGLIANO,80,1,-,1,11
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,134,3,-,1,12
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,187,8,-,1,33
SPEZZANO DELLA SILA,189,9,1,2,16
