Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,5,-,-,-,3
ACRI,791,11,2,10,219
AIELLO CALABRO,13,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,193,2,-,1,13
ALTRA ASP,73,4,-,2,5
ALTRA REGIONE,23,2,-,1,1
AMANTEA,282,4,-,3,95
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,24,-,-,1,14
BELSITO,24,1,-,-,9
BELVEDERE MARITTIMO,201,4,-,5,19
BIANCHI,25,1,-,-,3
BISIGNANO,492,10,1,1,76
BOCCHIGLIERO,36,4,-,2,1
BONIFATI,13,-,-,-,2
BUONVICINO,21,1,-,-,3
CALOPEZZATI,29,-,-,1,9
CALOVETO,39,-,-,-,16
CAMPANA,126,3,-,3,56
CANNA,-,-,-,-,-
CARIATI,217,4,-,2,52
CAROLEI,52,-,-,-,8
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,264,13,-,2,35
CASSANO ALLO IONIO,722,15,-,3,103
CASTIGLIONE COSENTINO,87,2,-,2,27
CASTROLIBERO,253,3,-,7,87
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,498,10,-,1,79
CELICO,142,5,-,1,21
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,34,2,-,-,3
CERISANO,62,-,-,2,15
CERVICATI,34,1,-,1,1
CERZETO,42,-,-,1,13
CETRARO,152,3,-,1,61
CIVITA,10,-,-,-,-
CLETO,16,1,-,1,11
COLOSIMI,12,-,-,-,3
CORIGLIANO-ROSSANO,3673,74,2,25,356
COSENZA,1966,44,2,20,329
CROPALATI,17,-,-,1,2
CROSIA,398,7,-,8,141
DIAMANTE,63,2,-,-,2
DIPIGNANO,126,2,-,2,14
DOMANICO,42,-,-,1,19
FAGNANO CASTELLO,47,3,-,-,4
FALCONARA ALBANESE,22,1,-,-,18
FIGLINE VEGLIATURO,39,-,-,-,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,15,-,-,-,5
FRANCAVILLA MARITTIMA,46,3,-,-,1
FRASCINETO,62,2,-,-,-
FUSCALDO,164,-,-,1,59
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,28,-,-,-,12
LAGO,47,1,-,-,1
LAINO BORGO,53,3,-,1,11
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,11
LATTARICO,136,3,-,2,24
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,75,1,-,2,2
LUNGRO,35,3,-,-,1
LUZZI,291,6,2,-,66
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,15
MALVITO,26,-,-,-,7
MANDATORICCIO,104,2,-,7,79
MANGONE,83,1,1,-,8
MARANO MARCHESATO,94,4,-,1,32
MARANO PRINCIPATO,86,-,-,-,17
MARZI,35,2,-,-,16
MENDICINO,264,-,-,4,56
MONGRASSANO,47,2,-,-,4
MONTALTO UFFUGO,626,6,1,4,118
MONTEGIORDANO,20,-,-,-,-
MORANO CALABRO,94,4,-,1,11
MORMANNO,118,7,-,-,14
MOTTAFOLLONE,13,1,-,-,1
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,3
PANETTIERI,10,1,-,-,-
PAOLA,275,7,-,1,75
PAPASIDERO,1,-,-,-,-
PARENTI,27,1,-,1,-
PATERNO CALABRO,117,-,-,1,7
PEDIVIGLIANO,53,-,-,2,3
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,44,2,-,4,33
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,7
RENDE,1202,22,3,10,324
ROCCA IMPERIALE,137,-,1,1,63
ROGGIANO GRAVINA,147,4,1,6,10
ROGLIANO,172,3,-,2,29
ROSE,211,4,-,1,30
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,34,3,-,-,2
ROVITO,105,1,-,1,8
SAN BASILE,12,-,-,-,6
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,16
SAN DONATO DI NINEA,12,2,-,-,2
SAN FILI,53,1,-,-,8
SAN GIORGIO ALBANESE,26,2,-,1,6
SAN GIOVANNI IN FIORE,812,23,-,5,144
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,53,-,-,-,3
SAN LUCIDO,146,4,1,1,21
SAN MARCO ARGENTANO,95,3,-,3,17
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,107,5,-,3,15
SAN SOSTI,81,4,1,4,15
SAN VINCENZO LA COSTA,39,4,-,-,5
SANGINETO,18,-,-,-,1
SANTA CATERINA ALBANESE,6,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,11
SANTA SOFIA D'EPIRO,68,2,-,1,8
SANT'AGATA DI ESARO,39,2,-,-,17
SANTO STEFANO DI ROGLIANO,71,-,-,1,13
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,4
SCALEA,126,3,-,-,10
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,156,7,1,2,29
SPEZZANO DELLA SILA,187,9,-,4,34
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,231,5,-,5,41
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,242,14,-,-,30
TORTORA,179,1,-,-,36
TREBISACCE,114,6,-,2,21
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,46,-,-,1,20
VILLAPIANA,88,-,-,2,19
ZUMPANO,128,1,1,1,22
