Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,12,-,-,-,9
ACRI,812,11,1,13,170
AIELLO CALABRO,13,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,195,2,-,1,9
ALTRA ASP,74,4,-,1,5
ALTRA REGIONE,23,2,-,1,-
AMANTEA,291,4,-,2,72
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,31,-,-,2,20
BELSITO,26,1,-,-,11
BELVEDERE MARITTIMO,202,4,-,3,21
BIANCHI,25,1,-,-,1
BISIGNANO,500,10,-,3,82
BOCCHIGLIERO,36,5,-,-,1
BONIFATI,15,-,-,-,4
BUONVICINO,21,1,-,-,3
CALOPEZZATI,30,-,-,-,10
CALOVETO,44,-,-,1,16
CAMPANA,129,3,-,2,59
CANNA,2,-,-,-,2
CARIATI,225,4,-,2,52
CAROLEI,52,-,-,-,6
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,269,13,-,2,32
CASSANO ALLO IONIO,750,15,-,4,106
CASTIGLIONE COSENTINO,90,2,-,2,30
CASTROLIBERO,255,3,-,6,86
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,500,10,-,2,65
CELICO,143,5,-,2,18
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,34,2,-,-,3
CERISANO,63,-,-,2,16
CERVICATI,37,1,-,1,4
CERZETO,43,-,-,1,14
CETRARO,168,3,-,-,75
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,13
COLOSIMI,12,-,-,-,3
CORIGLIANO-ROSSANO,3710,74,2,19,241
COSENZA,2047,46,1,20,350
CROPALATI,17,-,-,1,-
CROSIA,411,7,-,8,89
DIAMANTE,63,2,-,-,2
DIPIGNANO,127,3,1,1,10
DOMANICO,53,-,-,1,29
FAGNANO CASTELLO,47,3,-,-,2
FALCONARA ALBANESE,22,1,-,-,15
FIGLINE VEGLIATURO,39,-,-,-,6
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,16,-,-,-,4
FRANCAVILLA MARITTIMA,46,3,-,-,1
FRASCINETO,62,2,-,-,-
FUSCALDO,170,-,-,1,45
GRIMALDI,22,-,-,-,4
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,39,-,1,-,22
LAGO,47,1,-,-,1
LAINO BORGO,54,3,-,-,12
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,10
LATTARICO,139,3,-,2,27
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,3
LUNGRO,38,3,-,-,4
LUZZI,306,7,-,1,46
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,15
MALVITO,28,-,-,1,8
MANDATORICCIO,110,2,-,5,86
MANGONE,88,1,1,-,12
MARANO MARCHESATO,104,4,-,2,38
MARANO PRINCIPATO,89,-,-,-,16
MARZI,35,2,-,-,11
MENDICINO,271,-,-,5,41
MONGRASSANO,50,2,-,-,6
MONTALTO UFFUGO,646,6,1,5,137
MONTEGIORDANO,20,-,-,-,-
MORANO CALABRO,94,4,-,1,11
MORMANNO,118,7,-,-,10
MOTTAFOLLONE,14,1,-,-,2
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,3
PANETTIERI,10,1,-,-,-
PAOLA,277,7,-,2,65
PAPASIDERO,1,-,-,-,-
PARENTI,35,1,-,1,8
PATERNO CALABRO,117,-,-,1,5
PEDIVIGLIANO,53,-,-,2,1
PIANE CRATI,59,1,-,-,8
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,46,2,-,4,33
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,-,8
RENDE,1236,22,2,6,304
ROCCA IMPERIALE,137,-,1,-,63
ROGGIANO GRAVINA,164,5,-,6,27
ROGLIANO,180,3,-,2,35
ROSE,211,4,-,1,23
ROSETO CAPO SPULICO,28,-,-,-,-
ROTA GRECA,35,3,-,-,3
ROVITO,108,1,-,1,11
SAN BASILE,12,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,15
SAN DONATO DI NINEA,15,2,-,1,4
SAN FILI,53,1,-,-,8
SAN GIORGIO ALBANESE,26,2,-,1,5
SAN GIOVANNI IN FIORE,839,24,1,6,117
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,58,-,-,-,7
SAN LUCIDO,146,5,-,-,21
SAN MARCO ARGENTANO,100,3,-,3,21
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,109,5,-,3,17
SAN SOSTI,82,4,1,2,9
SAN VINCENZO LA COSTA,41,4,-,-,5
SANGINETO,18,-,-,-,1
SANTA CATERINA ALBANESE,6,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,11
SANTA SOFIA D'EPIRO,71,2,-,-,12
SANT'AGATA DI ESARO,40,2,-,-,15
SANTO STEFANO DI ROGLIANO,72,1,-,1,3
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,127,3,-,-,11
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,163,7,1,2,30
SPEZZANO DELLA SILA,189,9,1,3,32
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,243,5,-,5,43
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,243,14,-,-,31
TORTORA,179,1,-,-,36
TREBISACCE,131,6,-,3,37
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,46,-,-,2,17
VILLAPIANA,92,-,1,1,19
ZUMPANO,133,3,-,-,22
