Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,10,-,-,-,7
ACRI,811,11,1,12,224
AIELLO CALABRO,13,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,193,2,-,1,12
ALTRA ASP,73,4,-,1,5
ALTRA REGIONE,23,2,-,1,1
AMANTEA,289,4,-,3,100
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,30,-,-,2,19
BELSITO,26,1,-,-,11
BELVEDERE MARITTIMO,201,4,-,4,19
BIANCHI,25,1,-,-,3
BISIGNANO,496,10,-,2,79
BOCCHIGLIERO,36,5,-,-,1
BONIFATI,14,-,-,-,3
BUONVICINO,21,1,-,-,3
CALOPEZZATI,30,-,-,-,10
CALOVETO,44,-,-,-,17
CAMPANA,129,3,-,2,59
CANNA,-,-,-,-,-
CARIATI,223,4,-,2,56
CAROLEI,52,-,-,-,8
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,265,13,-,2,36
CASSANO ALLO IONIO,744,15,-,3,123
CASTIGLIONE COSENTINO,87,2,1,1,27
CASTROLIBERO,253,3,-,6,87
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,498,10,-,2,78
CELICO,142,5,-,1,18
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,34,2,-,-,3
CERISANO,63,-,-,2,16
CERVICATI,34,1,-,1,1
CERZETO,43,-,-,1,14
CETRARO,164,3,-,1,71
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,14
COLOSIMI,12,-,-,-,3
CORIGLIANO-ROSSANO,3704,74,2,22,309
COSENZA,2009,45,2,19,359
CROPALATI,17,-,-,1,-
CROSIA,406,7,-,9,118
DIAMANTE,63,2,-,-,2
DIPIGNANO,127,2,-,3,14
DOMANICO,49,-,-,1,25
FAGNANO CASTELLO,47,3,-,-,3
FALCONARA ALBANESE,22,1,-,-,18
FIGLINE VEGLIATURO,39,-,-,-,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,15,-,-,-,5
FRANCAVILLA MARITTIMA,46,3,-,-,1
FRASCINETO,62,2,-,-,-
FUSCALDO,168,-,-,1,51
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,38,-,1,-,21
LAGO,47,1,-,-,1
LAINO BORGO,53,3,-,1,11
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,11
LATTARICO,138,3,-,2,26
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,3
LUNGRO,35,3,-,-,1
LUZZI,293,7,1,-,33
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,15
MALVITO,27,-,-,1,7
MANDATORICCIO,108,2,-,6,83
MANGONE,88,1,1,-,13
MARANO MARCHESATO,94,4,-,1,32
MARANO PRINCIPATO,87,-,-,-,18
MARZI,35,2,-,-,16
MENDICINO,268,-,-,4,59
MONGRASSANO,47,2,-,-,3
MONTALTO UFFUGO,631,6,1,4,123
MONTEGIORDANO,20,-,-,-,-
MORANO CALABRO,94,4,-,1,11
MORMANNO,118,7,-,-,14
MOTTAFOLLONE,13,1,-,-,1
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,3
PANETTIERI,10,1,-,-,-
PAOLA,277,7,-,2,76
PAPASIDERO,1,-,-,-,-
PARENTI,35,1,-,2,7
PATERNO CALABRO,117,-,-,1,7
PEDIVIGLIANO,53,-,-,2,2
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,46,2,-,4,35
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,-,8
RENDE,1219,22,2,9,341
ROCCA IMPERIALE,137,-,1,1,62
ROGGIANO GRAVINA,147,4,1,6,10
ROGLIANO,180,3,-,2,37
ROSE,211,4,-,1,29
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,35,3,-,-,3
ROVITO,105,1,-,1,8
SAN BASILE,12,-,-,-,6
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,16
SAN DONATO DI NINEA,15,2,-,1,4
SAN FILI,53,1,-,-,8
SAN GIORGIO ALBANESE,26,2,-,1,6
SAN GIOVANNI IN FIORE,836,24,1,5,165
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,53,-,-,-,3
SAN LUCIDO,146,5,-,-,22
SAN MARCO ARGENTANO,95,3,-,3,17
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,107,5,-,3,15
SAN SOSTI,81,4,1,2,17
SAN VINCENZO LA COSTA,39,4,-,-,5
SANGINETO,18,-,-,-,1
SANTA CATERINA ALBANESE,6,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,11
SANTA SOFIA D'EPIRO,70,2,-,1,10
SANT'AGATA DI ESARO,40,2,-,-,15
SANTO STEFANO DI ROGLIANO,71,-,-,1,12
SARACENA,38,2,-,-,3
SCALA COELI,20,5,-,-,4
SCALEA,126,3,-,-,10
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,156,7,1,2,29
SPEZZANO DELLA SILA,187,9,1,3,34
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,231,5,-,4,42
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,244,14,-,-,32
TORTORA,179,1,-,-,36
TREBISACCE,117,6,-,2,24
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,46,-,-,2,19
VILLAPIANA,89,-,-,2,20
ZUMPANO,128,2,1,-,21
