Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,4,-,-,-,2
ACRI,786,10,2,7,236
AIELLO CALABRO,13,-,-,-,4
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,189,2,-,1,28
ALTRA ASP,73,4,-,2,7
ALTRA REGIONE,23,2,-,1,1
AMANTEA,281,4,-,3,102
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,1,1
BELMONTE CALABRO,24,-,1,-,14
BELSITO,24,1,-,-,9
BELVEDERE MARITTIMO,196,4,-,6,14
BIANCHI,24,1,-,-,5
BISIGNANO,473,10,2,-,91
BOCCHIGLIERO,36,4,-,2,2
BONIFATI,13,-,-,-,2
BUONVICINO,21,1,-,-,3
CALOPEZZATI,26,-,-,1,7
CALOVETO,37,-,-,-,14
CAMPANA,126,3,-,3,58
CANNA,-,-,-,-,-
CARIATI,209,4,-,-,53
CAROLEI,52,-,-,-,10
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,260,13,-,2,39
CASSANO ALLO IONIO,693,14,1,2,95
CASTIGLIONE COSENTINO,80,2,-,2,20
CASTROLIBERO,244,2,-,4,96
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,472,9,1,1,65
CELICO,142,5,-,1,34
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,2
CERISANO,55,-,-,2,14
CERVICATI,33,1,-,1,1
CERZETO,41,-,-,2,18
CETRARO,136,3,-,1,46
CIVITA,10,-,-,-,-
CLETO,16,1,-,1,12
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3659,72,3,29,496
COSENZA,1938,44,1,22,404
CROPALATI,17,-,-,1,2
CROSIA,396,7,-,9,186
DIAMANTE,63,2,-,1,5
DIPIGNANO,125,2,-,2,14
DOMANICO,40,-,-,1,18
FAGNANO CASTELLO,47,3,-,-,5
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,39,-,-,1,14
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,15,-,-,-,7
FRANCAVILLA MARITTIMA,45,3,-,-,2
FRASCINETO,62,2,-,-,-
FUSCALDO,162,-,-,1,62
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,23,-,-,-,7
LAGO,47,1,-,-,6
LAINO BORGO,49,3,-,1,17
LAINO CASTELLO,7,-,-,-,-
LAPPANO,18,1,-,-,7
LATTARICO,136,3,-,2,59
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,75,1,-,3,4
LUNGRO,35,3,-,-,1
LUZZI,291,6,1,1,83
MAIERA',19,-,-,-,1
MALITO,21,-,-,-,16
MALVITO,19,-,-,-,1
MANDATORICCIO,94,1,1,6,71
MANGONE,83,1,1,-,9
MARANO MARCHESATO,94,3,-,2,34
MARANO PRINCIPATO,86,-,-,-,26
MARZI,35,2,-,-,16
MENDICINO,262,-,-,4,72
MONGRASSANO,46,2,-,-,6
MONTALTO UFFUGO,622,5,-,6,190
MONTEGIORDANO,20,-,-,-,1
MORANO CALABRO,86,4,-,1,3
MORMANNO,115,6,1,-,18
MOTTAFOLLONE,12,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,6
PANETTIERI,10,1,-,-,-
PAOLA,274,6,-,2,92
PAPASIDERO,1,-,-,-,-
PARENTI,27,1,-,1,-
PATERNO CALABRO,116,-,-,1,7
PEDIVIGLIANO,53,-,-,1,3
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,36,2,-,2,27
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,1,23
RENDE,1178,21,2,15,405
ROCCA IMPERIALE,123,-,-,2,51
ROGGIANO GRAVINA,142,4,1,6,11
ROGLIANO,170,2,1,-,29
ROSE,210,4,-,1,46
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,34,3,-,-,2
ROVITO,103,1,-,-,13
SAN BASILE,10,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,1
SAN COSMO ALBANESE,60,4,-,-,-
SAN DEMETRIO CORONE,38,-,-,-,16
SAN DONATO DI NINEA,10,2,-,-,-
SAN FILI,53,1,-,-,20
SAN GIORGIO ALBANESE,26,2,-,1,6
SAN GIOVANNI IN FIORE,805,22,-,4,162
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,53,-,-,-,3
SAN LUCIDO,146,4,1,1,25
SAN MARCO ARGENTANO,89,3,-,3,16
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,103,5,-,2,13
SAN SOSTI,78,4,1,4,28
SAN VINCENZO LA COSTA,39,4,-,-,6
SANGINETO,18,-,-,-,2
SANTA CATERINA ALBANESE,4,-,-,-,-
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,53,2,-,-,3
SANTA SOFIA D'EPIRO,68,2,-,3,6
SANT'AGATA DI ESARO,30,2,-,1,8
SANTO STEFANO DI ROGLIANO,71,-,-,1,15
SARACENA,38,2,-,-,7
SCALA COELI,20,5,-,-,4
SCALEA,122,3,-,-,10
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,140,7,1,2,15
SPEZZANO DELLA SILA,182,9,-,4,38
TARSIA,20,1,-,-,5
TERRANOVA DA SIBARI,215,5,-,5,46
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,235,14,-,1,44
TORTORA,179,1,-,-,55
TREBISACCE,114,6,-,3,31
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,45,-,1,-,19
VILLAPIANA,85,-,-,2,25
ZUMPANO,127,1,1,1,25
