Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,19,-,-,-,12
ACQUAPPESA,13,1,-,-,5
ACRI,836,14,-,9,27
AIELLO CALABRO,14,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,202,2,-,-,8
ALTRA ASP,81,4,-,4,4
ALTRA REGIONE,23,2,-,-,-
AMANTEA,293,5,-,-,7
AMENDOLARA,21,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,36,-,-,-,14
BELSITO,29,1,-,-,6
BELVEDERE MARITTIMO,214,4,-,1,18
BIANCHI,25,1,-,-,1
BISIGNANO,512,10,-,1,52
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,2
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,3
CALOVETO,52,-,-,2,10
CAMPANA,129,3,-,1,2
CANNA,3,-,-,-,3
CARIATI,230,5,-,-,23
CAROLEI,54,-,-,1,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,276,13,-,1,14
CASSANO ALLO IONIO,843,15,1,4,83
CASTIGLIONE COSENTINO,101,3,-,-,28
CASTROLIBERO,263,5,-,3,50
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,526,11,-,1,37
CELICO,148,6,-,1,4
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,1
CERISANO,64,-,-,-,10
CERVICATI,42,1,-,-,3
CERZETO,48,-,-,-,4
CETRARO,189,3,-,1,72
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,4
COLOSIMI,14,-,-,-,2
CORIGLIANO-ROSSANO,3807,79,1,8,96
COSENZA,2180,49,-,18,195
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,1,15
DIAMANTE,65,2,-,1,1
DIPIGNANO,128,4,-,1,1
DOMANICO,54,-,-,1,12
FAGNANO CASTELLO,47,3,-,-,-
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,40,-,-,1,2
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,1,2
FRANCAVILLA MARITTIMA,69,3,-,-,23
FRASCINETO,64,2,-,-,2
