Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,19,-,-,-,13
ACQUAPPESA,13,1,-,-,9
ACRI,835,14,-,9,50
AIELLO CALABRO,14,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,-,1
ALTOMONTE,200,2,-,-,6
ALTRA ASP,79,4,-,2,7
ALTRA REGIONE,23,2,-,-,-
AMANTEA,293,4,1,-,15
AMENDOLARA,21,-,-,-,1
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,36,-,-,-,19
BELSITO,29,1,-,-,6
BELVEDERE MARITTIMO,208,4,-,1,16
BIANCHI,25,1,-,-,1
BISIGNANO,511,10,-,-,80
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,3
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,3
CALOVETO,52,-,-,2,14
CAMPANA,129,3,-,1,12
CANNA,3,-,-,1,2
CARIATI,231,5,-,-,32
CAROLEI,52,-,-,-,2
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,276,13,-,2,26
CASSANO ALLO IONIO,830,15,1,3,107
CASTIGLIONE COSENTINO,95,3,-,-,23
CASTROLIBERO,262,4,-,4,68
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,523,11,-,1,44
CELICO,147,5,1,-,13
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,2
CERISANO,64,-,-,-,18
CERVICATI,42,1,-,-,6
CERZETO,48,-,-,1,14
CETRARO,188,3,-,-,82
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,5
COLOSIMI,13,-,-,-,1
CORIGLIANO-ROSSANO,3765,78,1,9,103
COSENZA,2149,48,-,18,305
CROPALATI,17,-,-,-,-
CROSIA,416,7,-,4,24
DIAMANTE,65,2,-,1,3
DIPIGNANO,128,4,-,1,8
DOMANICO,54,-,-,1,20
FAGNANO CASTELLO,47,3,-,-,1
FALCONARA ALBANESE,22,1,-,-,2
FIGLINE VEGLIATURO,40,-,-,1,2
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,16,-,-,-,1
FRANCAVILLA MARITTIMA,68,3,-,-,22
FRASCINETO,63,2,-,-,1
FUSCALDO,189,-,-,1,37
GRIMALDI,24,-,-,1,2
GRISOLIA,23,-,-,1,2
GUARDIA PIEMONTESE,44,-,-,1,27
LAGO,47,1,-,-,1
LAINO BORGO,56,3,-,-,10
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,9
LATTARICO,143,3,-,1,27
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,-
LUNGRO,46,3,-,1,10
LUZZI,308,7,-,1,33
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,-
MALVITO,29,1,-,-,2
MANDATORICCIO,110,2,-,2,69
MANGONE,88,2,-,-,10
MARANO MARCHESATO,104,5,-,-,13
MARANO PRINCIPATO,95,-,-,-,19
MARZI,35,2,-,-,4
MENDICINO,279,-,-,3,27
MONGRASSANO,52,2,-,-,3
MONTALTO UFFUGO,678,7,1,3,149
MONTEGIORDANO,21,-,-,-,1
MORANO CALABRO,95,4,-,-,4
MORMANNO,119,7,-,1,2
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,293,7,-,2,36
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,18
PATERNO CALABRO,117,-,-,-,1
PEDIVIGLIANO,61,-,-,2,8
PIANE CRATI,60,1,-,-,1
PIETRAFITTA,16,-,-,-,1
PIETRAPAOLA,46,2,-,1,23
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,9
RENDE,1267,24,1,2,157
ROCCA IMPERIALE,141,1,-,-,11
ROGGIANO GRAVINA,181,5,-,3,31
ROGLIANO,189,3,-,1,22
ROSE,213,4,-,1,5
ROSETO CAPO SPULICO,30,-,-,1,1
ROTA GRECA,35,3,-,-,3
ROVITO,108,1,-,-,6
SAN BASILE,12,-,-,-,1
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,3
SAN DONATO DI NINEA,26,3,1,-,14
SAN FILI,53,1,-,-,4
SAN GIORGIO ALBANESE,26,2,-,1,-
SAN GIOVANNI IN FIORE,866,26,-,3,61
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,69,-,-,-,12
SAN LUCIDO,150,5,-,-,7
SAN MARCO ARGENTANO,121,3,1,2,24
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,110,5,-,2,13
SAN SOSTI,86,5,-,-,4
SAN VINCENZO LA COSTA,42,4,-,-,3
SANGINETO,21,-,-,-,3
SANTA CATERINA ALBANESE,9,-,-,-,4
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,8
SANTA SOFIA D'EPIRO,71,2,-,-,5
SANT'AGATA DI ESARO,40,2,-,-,2
SANTO STEFANO DI ROGLIANO,80,1,-,1,11
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,134,3,-,1,12
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,193,8,-,-,38
SPEZZANO DELLA SILA,189,9,1,2,16
TARSIA,21,1,-,-,2
TERRANOVA DA SIBARI,261,5,-,3,31
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,249,14,-,1,33
TORTORA,179,1,-,-,5
TREBISACCE,135,6,-,1,23
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,65,1,1,1,20
VILLAPIANA,94,-,-,2,7
