Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,7,-,-,-,1
ACQUAPPESA,13,1,-,-,9
ACRI,827,12,1,10,87
AIELLO CALABRO,13,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,196,2,-,-,8
ALTRA ASP,76,4,-,1,6
ALTRA REGIONE,23,2,-,1,-
AMANTEA,291,4,-,1,56
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,36,-,-,2,24
BELSITO,29,1,-,-,14
BELVEDERE MARITTIMO,203,4,-,1,12
BIANCHI,25,1,-,-,1
BISIGNANO,508,10,-,1,80
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,4
BUONVICINO,21,1,-,-,3
CALOPEZZATI,30,-,-,-,6
CALOVETO,49,-,-,2,14
CAMPANA,129,3,-,1,32
CANNA,3,-,-,1,2
CARIATI,229,4,-,2,35
CAROLEI,52,-,-,-,4
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,274,13,-,2,34
CASSANO ALLO IONIO,801,15,-,5,113
CASTIGLIONE COSENTINO,90,3,-,1,30
CASTROLIBERO,260,3,-,4,87
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,516,10,-,3,68
CELICO,144,5,-,1,12
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,2
CERISANO,64,-,-,-,19
CERVICATI,40,1,-,2,6
CERZETO,48,-,-,1,16
CETRARO,172,3,-,-,77
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,10
COLOSIMI,12,-,-,-,3
CORIGLIANO-ROSSANO,3732,77,2,14,138
COSENZA,2092,47,-,30,327
CROPALATI,17,-,-,-,-
CROSIA,416,7,-,6,49
DIAMANTE,63,2,-,-,2
DIPIGNANO,127,3,1,1,8
DOMANICO,53,-,-,1,21
FAGNANO CASTELLO,47,3,-,-,1
FALCONARA ALBANESE,22,1,-,-,13
FIGLINE VEGLIATURO,39,-,-,-,6
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,16,-,-,-,3
FRANCAVILLA MARITTIMA,46,3,-,-,-
FRASCINETO,62,2,-,-,-
FUSCALDO,177,-,-,2,36
GRIMALDI,22,-,-,-,4
GRISOLIA,22,-,-,1,1
GUARDIA PIEMONTESE,40,-,-,1,23
LAGO,47,1,-,-,1
LAINO BORGO,56,3,-,-,13
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,10
LATTARICO,141,3,-,2,26
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,2
LUNGRO,40,3,-,-,6
LUZZI,307,7,-,1,38
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,15
MALVITO,29,-,-,1,9
MANDATORICCIO,110,2,-,5,77
MANGONE,88,1,1,-,12
MARANO MARCHESATO,104,5,-,1,33
MARANO PRINCIPATO,93,-,-,-,19
MARZI,35,2,-,-,11
MENDICINO,274,-,-,5,28
MONGRASSANO,52,2,-,-,7
MONTALTO UFFUGO,664,7,1,3,148
MONTEGIORDANO,20,-,-,-,-
MORANO CALABRO,95,4,-,1,11
MORMANNO,118,7,-,-,8
MOTTAFOLLONE,14,1,-,-,2
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,1
PANETTIERI,10,1,-,-,-
PAOLA,277,7,-,2,54
PAPASIDERO,1,-,-,-,-
PARENTI,41,1,-,-,15
PATERNO CALABRO,117,-,-,-,5
PEDIVIGLIANO,59,-,-,2,6
PIANE CRATI,60,1,-,-,9
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,46,2,-,2,29
PLATACI,2,-,-,-,-
PRAIA A MARE,116,4,-,-,8
RENDE,1251,24,1,5,296
ROCCA IMPERIALE,137,1,-,-,41
ROGGIANO GRAVINA,169,5,-,5,31
ROGLIANO,186,3,-,1,41
ROSE,212,4,-,-,9
ROSETO CAPO SPULICO,28,-,-,-,-
ROTA GRECA,35,3,-,-,3
ROVITO,108,1,-,-,9
SAN BASILE,12,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,5
SAN DONATO DI NINEA,21,2,-,1,10
SAN FILI,53,1,-,-,8
SAN GIORGIO ALBANESE,26,2,-,1,-
SAN GIOVANNI IN FIORE,864,24,1,3,109
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,67,-,-,-,15
SAN LUCIDO,147,5,-,-,19
SAN MARCO ARGENTANO,117,3,1,2,30
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,109,5,-,2,17
SAN SOSTI,86,5,-,1,13
SAN VINCENZO LA COSTA,41,4,-,-,3
SANGINETO,18,-,-,-,1
SANTA CATERINA ALBANESE,6,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,10
SANTA SOFIA D'EPIRO,71,2,-,-,6
SANT'AGATA DI ESARO,40,2,-,-,9
SANTO STEFANO DI ROGLIANO,80,1,-,1,11
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,132,3,-,-,15
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,187,7,1,1,51
SPEZZANO DELLA SILA,189,9,1,3,23
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,253,5,-,4,50
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,248,14,-,-,35
TORTORA,179,1,-,-,21
TREBISACCE,133,6,-,3,31
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,51,-,1,1,10
VILLAPIANA,94,-,-,2,11
ZUMPANO,135,3,-,-,24
