Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,10,-,-,-,7
ACRI,811,11,1,12,206
AIELLO CALABRO,13,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,195,2,-,2,8
ALTRA ASP,74,4,-,2,4
ALTRA REGIONE,23,2,-,1,1
AMANTEA,289,4,-,3,69
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,30,-,-,2,19
BELSITO,26,1,-,-,11
BELVEDERE MARITTIMO,201,4,-,3,20
BIANCHI,25,1,-,-,3
BISIGNANO,497,10,-,2,80
BOCCHIGLIERO,36,5,-,-,1
BONIFATI,14,-,-,-,3
BUONVICINO,21,1,-,-,3
CALOPEZZATI,30,-,-,-,10
CALOVETO,44,-,-,-,17
CAMPANA,129,3,-,2,59
CANNA,-,-,-,-,-
CARIATI,223,4,-,2,56
CAROLEI,52,-,-,-,6
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,266,13,-,2,33
CASSANO ALLO IONIO,745,15,-,4,102
CASTIGLIONE COSENTINO,87,2,1,1,27
CASTROLIBERO,253,3,-,6,85
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,500,10,-,2,65
CELICO,142,5,-,1,18
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,34,2,-,-,3
CERISANO,63,-,-,2,16
CERVICATI,37,1,-,1,4
CERZETO,43,-,-,1,14
CETRARO,167,3,-,-,74
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,13
COLOSIMI,12,-,-,-,3
CORIGLIANO-ROSSANO,3706,74,2,18,239
COSENZA,2020,46,1,20,333
CROPALATI,17,-,-,1,-
CROSIA,406,7,-,8,85
DIAMANTE,63,2,-,-,2
DIPIGNANO,127,2,1,2,10
DOMANICO,52,-,-,2,27
FAGNANO CASTELLO,47,3,-,-,2
FALCONARA ALBANESE,22,1,-,-,15
FIGLINE VEGLIATURO,39,-,-,-,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,15,-,-,-,3
FRANCAVILLA MARITTIMA,46,3,-,-,1
FRASCINETO,62,2,-,-,-
FUSCALDO,169,-,-,1,48
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
GUARDIA PIEMONTESE,38,-,1,-,21
LAGO,47,1,-,-,1
LAINO BORGO,54,3,-,-,12
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,10
LATTARICO,139,3,-,2,27
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,3
LUNGRO,35,3,-,-,1
LUZZI,305,7,-,1,45
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,15
MALVITO,28,-,-,1,8
MANDATORICCIO,108,2,-,5,84
MANGONE,88,1,1,-,13
MARANO MARCHESATO,95,4,-,2,32
MARANO PRINCIPATO,87,-,-,-,14
MARZI,35,2,-,-,16
MENDICINO,268,-,-,4,49
MONGRASSANO,50,2,-,-,6
MONTALTO UFFUGO,638,6,1,4,130
MONTEGIORDANO,20,-,-,-,-
MORANO CALABRO,94,4,-,1,11
MORMANNO,118,7,-,-,10
MOTTAFOLLONE,14,1,-,-,2
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,3
PANETTIERI,10,1,-,-,-
PAOLA,276,7,-,2,64
PAPASIDERO,1,-,-,-,-
PARENTI,35,1,-,1,8
PATERNO CALABRO,117,-,-,1,7
PEDIVIGLIANO,53,-,-,2,1
PIANE CRATI,59,1,-,-,9
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,46,2,-,4,35
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,-,8
RENDE,1219,22,2,9,302
ROCCA IMPERIALE,137,-,1,1,62
ROGGIANO GRAVINA,164,4,1,6,27
ROGLIANO,180,3,-,2,37
ROSE,211,4,-,1,23
ROSETO CAPO SPULICO,28,-,-,1,-
ROTA GRECA,35,3,-,-,3
ROVITO,108,1,-,1,11
SAN BASILE,12,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,15
SAN DONATO DI NINEA,15,2,-,1,4
SAN FILI,53,1,-,-,8
SAN GIORGIO ALBANESE,26,2,-,1,5
SAN GIOVANNI IN FIORE,839,24,1,6,117
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,58,-,-,-,7
SAN LUCIDO,146,5,-,-,21
SAN MARCO ARGENTANO,100,3,-,3,21
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,107,5,-,3,15
SAN SOSTI,82,4,1,2,9
SAN VINCENZO LA COSTA,39,4,-,-,3
SANGINETO,18,-,-,-,1
SANTA CATERINA ALBANESE,6,-,-,-,2
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,11
SANTA SOFIA D'EPIRO,71,2,-,-,12
SANT'AGATA DI ESARO,40,2,-,-,15
SANTO STEFANO DI ROGLIANO,72,1,-,1,12
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,4
SCALEA,127,3,-,-,11
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,162,7,1,2,29
SPEZZANO DELLA SILA,188,9,1,3,32
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,243,5,-,5,43
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,243,14,-,-,31
TORTORA,179,1,-,-,36
TREBISACCE,117,6,-,2,24
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,46,-,-,2,17
VILLAPIANA,89,-,1,1,18
ZUMPANO,132,3,-,-,22
