Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,19,-,-,-,12
ACQUAPPESA,13,1,-,-,5
ACRI,839,15,-,5,29
AIELLO CALABRO,14,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,202,2,-,-,5
ALTRA ASP,81,4,-,4,4
ALTRA REGIONE,23,2,-,-,-
AMANTEA,294,5,-,-,8
AMENDOLARA,22,-,-,-,1
APRIGLIANO,53,8,-,-,1
BELMONTE CALABRO,37,-,-,-,14
BELSITO,29,1,-,-,5
BELVEDERE MARITTIMO,215,4,-,1,19
BIANCHI,25,1,-,-,1
BISIGNANO,514,10,-,1,43
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,2
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,3
CALOVETO,52,-,-,2,9
CAMPANA,129,3,-,1,2
CANNA,3,-,-,-,3
CARIATI,230,5,-,-,18
CAROLEI,54,-,-,1,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,276,13,-,1,14
CASSANO ALLO IONIO,847,15,1,4,82
CASTIGLIONE COSENTINO,104,3,-,-,24
CASTROLIBERO,263,5,-,3,44
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,527,11,-,1,24
CELICO,148,6,-,1,3
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,1
CERISANO,64,-,-,-,10
CERVICATI,42,1,-,-,3
CERZETO,48,-,-,-,3
CETRARO,189,3,-,1,57
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,3
COLOSIMI,14,-,-,-,2
CORIGLIANO-ROSSANO,3821,79,1,6,103
COSENZA,2191,49,-,20,187
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,11
DIAMANTE,65,2,-,-,2
DIPIGNANO,128,4,-,1,1
DOMANICO,54,-,-,1,11
FAGNANO CASTELLO,47,3,-,-,-
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,40,-,-,1,-
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,1,2
FRANCAVILLA MARITTIMA,72,3,1,-,25
FRASCINETO,64,2,-,-,1
