Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,13,-,-,-,7
ACQUAPPESA,13,1,-,-,9
ACRI,827,13,-,10,87
AIELLO CALABRO,14,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,4
ALTOMONTE,197,2,-,-,9
ALTRA ASP,77,4,-,2,6
ALTRA REGIONE,23,2,-,-,-
AMANTEA,293,4,-,1,58
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,36,-,-,2,24
BELSITO,29,1,-,-,6
BELVEDERE MARITTIMO,203,4,-,1,12
BIANCHI,25,1,-,-,1
BISIGNANO,508,10,-,1,79
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,4
BUONVICINO,21,1,-,-,3
CALOPEZZATI,30,-,-,-,6
CALOVETO,50,-,-,2,15
CAMPANA,129,3,-,1,32
CANNA,3,-,-,1,2
CARIATI,229,4,-,2,30
CAROLEI,52,-,-,-,4
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,275,13,-,2,32
CASSANO ALLO IONIO,805,15,-,5,114
CASTIGLIONE COSENTINO,90,3,-,-,27
CASTROLIBERO,261,3,-,5,78
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,520,10,-,3,64
CELICO,145,5,1,-,13
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,2
CERISANO,64,-,-,-,19
CERVICATI,40,1,-,1,6
CERZETO,48,-,-,1,16
CETRARO,179,3,-,-,79
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,8
COLOSIMI,12,-,-,-,-
CORIGLIANO-ROSSANO,3751,77,1,14,148
COSENZA,2109,47,-,25,324
CROPALATI,17,-,-,-,-
CROSIA,416,7,-,7,42
DIAMANTE,64,2,-,1,2
DIPIGNANO,127,4,-,1,8
DOMANICO,54,-,-,1,22
FAGNANO CASTELLO,47,3,-,-,1
FALCONARA ALBANESE,22,1,-,-,12
FIGLINE VEGLIATURO,39,-,-,-,2
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,16,-,-,-,3
FRANCAVILLA MARITTIMA,48,3,-,-,2
FRASCINETO,62,2,-,-,-
FUSCALDO,178,-,-,2,33
GRIMALDI,22,-,-,-,1
GRISOLIA,22,-,-,1,1
GUARDIA PIEMONTESE,40,-,-,1,23
LAGO,47,1,-,-,1
LAINO BORGO,57,3,-,-,11
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,10
LATTARICO,141,3,-,2,26
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,1
LUNGRO,40,3,-,-,6
LUZZI,307,7,-,1,38
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,6
MALVITO,29,-,-,1,9
MANDATORICCIO,110,2,-,4,77
MANGONE,88,2,-,-,12
MARANO MARCHESATO,104,5,-,1,33
MARANO PRINCIPATO,94,-,-,-,20
MARZI,35,2,-,-,10
MENDICINO,277,-,-,5,29
MONGRASSANO,52,2,-,-,7
MONTALTO UFFUGO,669,7,1,3,152
MONTEGIORDANO,21,-,-,-,1
MORANO CALABRO,95,4,-,-,11
MORMANNO,119,7,-,-,6
MOTTAFOLLONE,14,1,-,-,2
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,1
PANETTIERI,10,1,-,-,-
PAOLA,282,7,-,2,58
PAPASIDERO,1,-,-,-,-
PARENTI,41,1,-,-,15
PATERNO CALABRO,117,-,-,-,2
PEDIVIGLIANO,60,-,-,2,7
PIANE CRATI,60,1,-,-,8
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,46,2,-,2,23
PLATACI,2,-,-,-,-
PRAIA A MARE,117,4,-,-,9
RENDE,1258,24,1,3,246
ROCCA IMPERIALE,139,1,-,-,40
ROGGIANO GRAVINA,173,5,-,4,33
ROGLIANO,186,3,-,1,40
ROSE,212,4,-,-,9
ROSETO CAPO SPULICO,28,-,-,-,-
ROTA GRECA,35,3,-,-,3
ROVITO,108,1,-,-,8
SAN BASILE,12,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,5
SAN DONATO DI NINEA,23,2,-,1,12
SAN FILI,53,1,-,-,7
SAN GIORGIO ALBANESE,26,2,-,1,-
SAN GIOVANNI IN FIORE,866,25,1,2,110
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,67,-,-,-,14
SAN LUCIDO,148,5,-,-,20
SAN MARCO ARGENTANO,117,3,1,2,28
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,109,5,-,2,17
SAN SOSTI,86,5,-,1,12
SAN VINCENZO LA COSTA,41,4,-,-,3
SANGINETO,19,-,-,-,2
SANTA CATERINA ALBANESE,9,-,-,-,5
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,61,2,-,-,10
SANTA SOFIA D'EPIRO,71,2,-,-,6
SANT'AGATA DI ESARO,40,2,-,-,9
SANTO STEFANO DI ROGLIANO,80,1,-,1,11
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,132,3,-,-,15
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,187,8,-,1,51
SPEZZANO DELLA SILA,189,9,1,2,18
TARSIA,20,1,-,-,1
TERRANOVA DA SIBARI,259,5,-,4,52
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,248,14,-,-,35
TORTORA,179,1,-,-,21
TREBISACCE,134,6,-,3,32
