Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,19,-,-,-,12
ACQUAPPESA,13,1,-,-,6
ACRI,836,14,-,9,27
AIELLO CALABRO,14,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,202,2,-,-,8
ALTRA ASP,81,4,-,5,3
ALTRA REGIONE,23,2,-,-,-
AMANTEA,293,5,-,-,7
AMENDOLARA,21,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,36,-,-,-,14
BELSITO,29,1,-,-,6
BELVEDERE MARITTIMO,214,4,-,1,18
BIANCHI,25,1,-,-,1
BISIGNANO,512,10,-,1,54
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,2
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,3
CALOVETO,52,-,-,2,11
CAMPANA,129,3,-,1,10
CANNA,3,-,-,-,3
CARIATI,230,5,-,-,29
CAROLEI,53,-,-,-,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,276,13,-,2,14
CASSANO ALLO IONIO,843,15,1,4,100
CASTIGLIONE COSENTINO,100,3,-,-,27
CASTROLIBERO,263,4,-,4,54
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,525,11,-,1,40
CELICO,148,6,-,-,5
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,1
CERISANO,64,-,-,-,13
CERVICATI,42,1,-,-,6
CERZETO,48,-,-,1,4
CETRARO,189,3,-,1,74
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,4
COLOSIMI,14,-,-,-,2
CORIGLIANO-ROSSANO,3805,78,1,9,118
COSENZA,2172,49,-,17,249
CROPALATI,17,-,-,-,-
CROSIA,417,7,-,1,18
DIAMANTE,65,2,-,1,3
DIPIGNANO,128,4,-,1,2
DOMANICO,54,-,-,1,13
FAGNANO CASTELLO,47,3,-,-,-
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,40,-,-,1,2
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,1,2
FRANCAVILLA MARITTIMA,68,3,-,-,22
FRASCINETO,63,2,-,-,1
FUSCALDO,190,-,-,1,28
GRIMALDI,32,-,-,1,10
GRISOLIA,23,-,-,1,2
GUARDIA PIEMONTESE,45,1,-,1,21
LAGO,47,1,-,-,1
LAINO BORGO,56,3,-,-,1
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,5
LATTARICO,144,3,-,1,11
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,2,-
LUNGRO,46,3,1,-,10
LUZZI,311,7,-,1,22
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,-
MALVITO,31,1,-,2,2
MANDATORICCIO,110,2,-,2,44
MANGONE,89,2,-,-,8
MARANO MARCHESATO,107,5,-,-,12
MARANO PRINCIPATO,96,-,-,-,17
MARZI,35,2,-,-,4
MENDICINO,282,-,-,3,24
MONGRASSANO,52,2,-,-,2
MONTALTO UFFUGO,682,7,-,4,87
MONTEGIORDANO,21,-,-,-,1
MORANO CALABRO,95,4,-,-,4
MORMANNO,119,7,-,1,2
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,293,7,-,1,24
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,18
PATERNO CALABRO,117,-,-,-,1
PEDIVIGLIANO,70,-,-,3,16
PIANE CRATI,60,1,-,-,1
PIETRAFITTA,16,-,-,-,1
PIETRAPAOLA,46,2,-,1,22
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,4
RENDE,1283,24,2,2,127
ROCCA IMPERIALE,141,1,-,-,8
ROGGIANO GRAVINA,183,5,-,1,30
ROGLIANO,190,4,-,-,23
ROSE,214,4,1,1,1
ROSETO CAPO SPULICO,30,-,-,1,1
ROTA GRECA,35,3,-,-,1
ROVITO,108,1,-,-,5
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,41,-,-,-,5
SAN DONATO DI NINEA,26,3,1,-,12
SAN FILI,53,1,-,-,-
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,865,26,-,2,45
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,70,-,-,1,9
SAN LUCIDO,153,5,-,-,8
SAN MARCO ARGENTANO,123,4,-,-,18
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,1
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,110,5,-,2,12
SAN SOSTI,87,5,-,1,1
SAN VINCENZO LA COSTA,42,4,-,-,3
SANGINETO,21,-,-,-,3
SANTA CATERINA ALBANESE,9,-,-,-,4
SANTA DOMENICA TALAO,15,-,-,-,-
SANTA MARIA DEL CEDRO,64,2,-,-,11
SANTA SOFIA D'EPIRO,71,2,-,-,3
SANT'AGATA DI ESARO,40,2,-,-,1
SANTO STEFANO DI ROGLIANO,80,1,-,1,11
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,136,3,1,1,12
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,194,8,-,-,29
SPEZZANO DELLA SILA,189,10,-,2,14
TARSIA,21,1,-,-,2
TERRANOVA DA SIBARI,261,6,-,1,19
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,249,14,-,1,25
TORTORA,179,1,-,-,-
TREBISACCE,135,6,-,1,11
VACCARIZZO ALBANESE,33,1,-,-,-
VERBICARO,68,1,-,2,23
VILLAPIANA,94,-,-,2,3
ZUMPANO,142,3,-,1,16
