Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,13,1,-,-,-
ACRI,850,15,-,-,2
AIELLO CALABRO,15,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,219,2,-,-,6
ALTRA ASP,84,5,-,2,2
ALTRA REGIONE,24,2,-,-,1
AMANTEA,300,5,-,-,-
AMENDOLARA,22,-,-,-,-
APRIGLIANO,61,8,-,-,5
BELMONTE CALABRO,37,-,-,-,-
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,219,4,-,-,1
BIANCHI,25,1,-,-,-
BISIGNANO,523,10,-,1,-
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,25,1,-,-,1
BUONVICINO,24,1,1,-,2
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,129,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,232,6,-,2,-
CAROLEI,57,-,-,-,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,282,13,-,-,2
CASSANO ALLO IONIO,855,17,-,1,2
CASTIGLIONE COSENTINO,105,3,-,-,-
CASTROLIBERO,275,5,-,-,3
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,529,11,-,2,-
CELICO,174,6,-,-,20
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,42,2,-,-,3
CERISANO,67,-,-,-,1
CERVICATI,45,1,-,-,1
CERZETO,48,-,-,-,-
CETRARO,223,4,1,6,19
CIVITA,10,-,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,15,-,-,-,-
CORIGLIANO-ROSSANO,3971,81,-,3,57
COSENZA,2294,55,-,4,30
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,-
DIAMANTE,65,2,-,-,-
DIPIGNANO,134,4,-,-,-
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,51,3,-,-,-
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,-
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,-,-
FRANCAVILLA MARITTIMA,83,4,-,-,2
FRASCINETO,64,2,-,-,-
FUSCALDO,219,-,-,-,1
GRIMALDI,38,-,-,-,-
GRISOLIA,23,-,-,-,-
GUARDIA PIEMONTESE,48,1,-,-,1
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,4,-,-,-
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,56,4,-,-,1
LUZZI,335,7,-,-,1
MAIERA',23,-,-,-,1
MALITO,21,1,-,-,-
MALVITO,31,2,-,-,-
MANDATORICCIO,111,2,-,-,-
MANGONE,91,2,-,-,-
MARANO MARCHESATO,111,5,-,-,3
MARANO PRINCIPATO,101,-,-,-,-
MARZI,35,2,-,-,-
MENDICINO,294,1,-,1,2
MONGRASSANO,56,2,-,-,-
MONTALTO UFFUGO,712,8,-,-,2
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,97,4,-,-,1
MORMANNO,115,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,-,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,300,9,-,-,-
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,1,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,-
RENDE,1340,27,-,-,8
ROCCA IMPERIALE,141,1,-,-,-
ROGGIANO GRAVINA,187,5,-,1,-
ROGLIANO,193,4,-,-,-
ROSE,222,5,-,-,1
ROSETO CAPO SPULICO,31,-,1,-,-
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,41,-,-,-,-
SAN DONATO DI NINEA,27,5,-,-,-
SAN FILI,54,1,-,-,1
SAN GIORGIO ALBANESE,27,2,-,-,1
SAN GIOVANNI IN FIORE,870,26,-,-,3
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,93,-,-,-,12
SAN LUCIDO,160,5,-,-,-
SAN MARCO ARGENTANO,137,4,-,-,2
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,113,5,-,-,-
SAN SOSTI,87,6,-,-,-
SAN VINCENZO LA COSTA,42,4,-,-,-
SANGINETO,23,-,-,-,-
SANTA CATERINA ALBANESE,12,-,-,-,-
SANTA DOMENICA TALAO,16,-,-,-,-
SANTA MARIA DEL CEDRO,80,3,-,-,6
SANTA SOFIA D'EPIRO,75,2,-,1,1
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,83,1,-,-,-
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,170,3,-,-,13
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,211,8,-,-,2
SPEZZANO DELLA SILA,191,10,-,-,1
TARSIA,31,1,-,-,-
TERRANOVA DA SIBARI,297,7,-,2,25
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,-
TORTORA,192,1,-,-,2
TREBISACCE,143,6,-,-,1
VACCARIZZO ALBANESE,35,1,-,-,-
VERBICARO,99,3,-,1,12
VILLAPIANA,98,-,-,-,3
ZUMPANO,146,3,-,-,1
