Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,15,1,-,-,2
ACRI,850,16,-,-,-
AIELLO CALABRO,15,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,48,1,-,-,2
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,219,2,-,-,-
ALTRA ASP,83,5,-,-,-
ALTRA REGIONE,19,2,-,-,1
AMANTEA,301,5,-,-,1
AMENDOLARA,22,-,-,-,-
APRIGLIANO,61,8,-,-,-
BELMONTE CALABRO,37,-,-,-,-
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,228,4,-,-,9
BIANCHI,27,1,-,-,2
BISIGNANO,527,10,-,-,3
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,25,1,-,-,-
BUONVICINO,24,1,-,1,-
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,127,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,235,6,-,1,3
CAROLEI,57,-,-,-,-
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,285,13,-,-,4
CASSANO ALLO IONIO,871,17,-,-,16
CASTIGLIONE COSENTINO,105,3,-,-,-
CASTROLIBERO,283,5,-,1,9
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,590,11,-,3,52
CELICO,175,6,-,-,1
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,42,2,-,-,-
CERISANO,67,-,-,-,-
CERVICATI,45,1,-,-,-
CERZETO,55,-,-,-,7
CETRARO,239,5,-,-,15
CIVITA,10,1,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,25,-,-,1,9
CORIGLIANO-ROSSANO,4024,86,2,3,64
COSENZA,2324,56,-,4,23
CROPALATI,17,-,-,-,-
CROSIA,419,8,-,-,-
DIAMANTE,66,2,-,1,-
DIPIGNANO,134,4,-,-,-
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,52,3,-,-,1
FALCONARA ALBANESE,23,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,-
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,17,-,-,-,-
FRANCAVILLA MARITTIMA,85,4,-,-,2
FRASCINETO,64,2,-,-,-
FUSCALDO,221,-,-,-,-
GRIMALDI,38,-,-,-,-
GRISOLIA,27,-,-,-,4
GUARDIA PIEMONTESE,50,1,-,-,3
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,150,4,-,-,4
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,56,5,-,-,-
LUZZI,338,7,-,-,4
MAIERA',23,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,31,2,-,-,-
MANDATORICCIO,109,2,-,-,-
MANGONE,92,2,-,-,-
MARANO MARCHESATO,111,5,-,-,-
MARANO PRINCIPATO,104,-,-,-,3
MARZI,35,2,-,-,-
MENDICINO,298,1,-,-,4
MONGRASSANO,61,2,-,-,3
MONTALTO UFFUGO,720,9,1,1,5
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,97,4,1,-,-
MORMANNO,116,7,-,-,1
MOTTAFOLLONE,17,1,-,1,2
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,-,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,301,9,-,-,1
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,-,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,140,4,-,1,20
RENDE,1355,27,-,2,12
ROCCA IMPERIALE,141,1,-,-,-
ROGGIANO GRAVINA,196,6,-,2,7
ROGLIANO,193,5,-,-,-
ROSE,222,5,-,-,-
ROSETO CAPO SPULICO,43,1,-,-,12
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,13,-,-,-,1
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,42,-,-,-,1
SAN DONATO DI NINEA,28,5,-,-,1
SAN FILI,55,1,-,-,-
SAN GIORGIO ALBANESE,28,2,-,-,1
SAN GIOVANNI IN FIORE,875,26,-,-,5
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,100,-,-,-,11
SAN LUCIDO,159,5,-,-,1
SAN MARCO ARGENTANO,150,4,-,1,12
SAN MARTINO DI FINITA,64,2,-,1,12
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,114,5,-,-,1
SAN SOSTI,88,6,-,-,1
SAN VINCENZO LA COSTA,43,4,-,-,1
SANGINETO,26,-,-,-,3
SANTA CATERINA ALBANESE,22,-,-,-,10
SANTA DOMENICA TALAO,16,-,-,-,-
SANTA MARIA DEL CEDRO,85,3,-,-,1
SANTA SOFIA D'EPIRO,75,2,-,-,-
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,83,1,-,-,-
SARACENA,41,3,-,-,3
SCALA COELI,20,5,-,-,-
SCALEA,173,3,-,-,3
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,225,8,-,1,12
SPEZZANO DELLA SILA,197,10,-,-,4
TARSIA,35,1,-,-,2
TERRANOVA DA SIBARI,414,8,-,8,90
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,257,14,-,-,3
TORTORA,194,3,-,-,-
TREBISACCE,147,6,-,1,3
VACCARIZZO ALBANESE,35,1,-,-,-
VERBICARO,101,4,-,-,1
VILLAPIANA,101,-,-,1,5
ZUMPANO,146,3,-,-,-
