Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,13,1,-,-,-
ACRI,850,15,-,-,-
AIELLO CALABRO,15,-,-,-,-
AIETA,-,-,-,-,-
ALBIDONA,47,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,219,2,-,-,-
ALTRA ASP,84,5,-,-,2
ALTRA REGIONE,24,2,-,-,1
AMANTEA,301,5,-,1,1
AMENDOLARA,22,-,-,-,-
APRIGLIANO,61,8,-,-,1
BELMONTE CALABRO,37,-,-,-,-
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,226,4,-,-,8
BIANCHI,25,1,-,-,-
BISIGNANO,526,10,-,1,3
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,25,1,-,-,-
BUONVICINO,24,1,-,1,2
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,129,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,232,6,-,2,-
CAROLEI,57,-,-,-,-
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,284,13,-,-,4
CASSANO ALLO IONIO,857,17,-,-,4
CASTIGLIONE COSENTINO,105,3,-,-,-
CASTROLIBERO,275,5,-,-,3
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,544,11,-,4,13
CELICO,175,6,-,-,7
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,42,2,-,-,-
CERISANO,67,-,-,-,-
CERVICATI,45,1,-,-,1
CERZETO,48,-,-,-,-
CETRARO,237,5,-,4,31
CIVITA,10,-,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,15,-,-,-,-
CORIGLIANO-ROSSANO,3992,81,-,4,53
COSENZA,2300,55,-,4,12
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,-
DIAMANTE,65,2,-,-,-
DIPIGNANO,134,4,-,-,-
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,51,3,-,-,-
FALCONARA ALBANESE,23,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,-
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,17,-,-,-,-
FRANCAVILLA MARITTIMA,83,4,-,-,-
FRASCINETO,64,2,-,-,-
FUSCALDO,221,-,-,-,-
GRIMALDI,38,-,-,-,-
GRISOLIA,23,-,-,-,-
GUARDIA PIEMONTESE,48,1,-,-,1
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,148,4,-,-,2
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,1,-
LUNGRO,56,4,-,-,-
LUZZI,335,7,-,-,1
MAIERA',23,-,-,-,1
MALITO,21,1,-,-,-
MALVITO,31,2,-,-,-
MANDATORICCIO,111,2,-,-,-
MANGONE,92,2,-,-,1
MARANO MARCHESATO,111,5,-,-,3
MARANO PRINCIPATO,101,-,-,-,-
MARZI,35,2,-,-,-
MENDICINO,295,1,-,1,2
MONGRASSANO,57,2,-,1,-
MONTALTO UFFUGO,713,8,-,-,-
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,96,4,-,-,1
MORMANNO,115,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,-,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,300,9,-,-,-
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,-
PEDIVIGLIANO,77,-,-,-,-
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,123,4,-,-,4
RENDE,1342,27,-,-,5
ROCCA IMPERIALE,141,1,-,-,-
ROGGIANO GRAVINA,187,5,-,-,-
ROGLIANO,193,4,-,-,-
ROSE,222,5,-,-,1
ROSETO CAPO SPULICO,31,-,1,-,-
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,41,-,-,-,-
SAN DONATO DI NINEA,27,5,-,-,-
SAN FILI,55,1,-,-,1
SAN GIORGIO ALBANESE,27,2,-,-,-
SAN GIOVANNI IN FIORE,870,26,-,-,3
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,93,-,-,-,7
SAN LUCIDO,158,5,-,-,-
SAN MARCO ARGENTANO,137,4,-,-,-
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,113,5,-,-,-
SAN SOSTI,87,6,-,-,-
SAN VINCENZO LA COSTA,42,4,-,-,-
SANGINETO,23,-,-,-,-
SANTA CATERINA ALBANESE,12,-,-,-,-
SANTA DOMENICA TALAO,16,-,-,-,-
SANTA MARIA DEL CEDRO,85,3,-,-,7
SANTA SOFIA D'EPIRO,75,2,-,-,-
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,83,1,-,-,-
SARACENA,39,2,-,-,1
SCALA COELI,20,5,-,-,-
SCALEA,171,3,-,-,2
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,215,8,-,-,4
SPEZZANO DELLA SILA,193,10,-,1,-
TARSIA,33,1,-,1,1
TERRANOVA DA SIBARI,334,8,-,3,59
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,-
TORTORA,192,1,-,-,1
TREBISACCE,146,6,-,1,2
VACCARIZZO ALBANESE,35,1,-,-,-
VERBICARO,100,3,-,2,6
VILLAPIANA,99,-,-,1,3
ZUMPANO,146,3,-,-,1
