Data;Dosi somministrate;N. abitanti;Dosi per 100.000 abitanti
27 dic - 3 gen;452;1.894.110;24
4Ê - 10 gen;10.406;1.894.110;549
11 - 17 gen;14.851;1.894.110;784
18 - 24 gen;5.792;1.894.110;306
25 - 31 gen;11.887;1.894.110;628
1 - 7 feb;18.506;1.894.110;977
8 - 14 feb;12.211;1.894.110;645
15 - 21 feb;9.581;1.894.110;506
22 - 28 feb;17.137;1.894.110;905
1 - 7 mar;34.341;1.894.110;1.813
8 - 14 mar;38.761;1.894.110;2.046
15 - 21 mar;30.197;1.894.110;1.594
22 - 28 mar;42.712;1.894.110;2.255
29 mar - 4 apr;47.221;1.894.110;2.493
5 - 11 apr;49.261;1.894.110;2.601
12 - 18 apr;54.370;1.894.110;2.870
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
