Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,-,-,-,5
ACQUAPPESA,13,1,-,-,-
ACRI,845,15,-,3,10
AIELLO CALABRO,15,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,203,2,-,-,4
ALTRA ASP,81,5,-,3,3
ALTRA REGIONE,23,2,-,-,-
AMANTEA,300,5,-,-,7
AMENDOLARA,22,-,-,-,1
APRIGLIANO,53,8,-,-,1
BELMONTE CALABRO,37,-,-,-,6
BELSITO,29,1,-,-,3
BELVEDERE MARITTIMO,216,4,-,-,15
BIANCHI,25,1,-,-,-
BISIGNANO,521,10,-,1,20
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,24,-,1,-,8
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,5
CAMPANA,129,3,-,1,-
CANNA,3,-,-,-,1
CARIATI,232,5,-,-,8
CAROLEI,56,-,-,1,3
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,278,13,-,1,3
CASSANO ALLO IONIO,852,16,-,2,42
CASTIGLIONE COSENTINO,105,3,-,-,15
CASTROLIBERO,272,5,-,2,17
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,527,11,-,-,6
CELICO,149,6,-,1,4
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,37,2,-,1,1
CERISANO,64,-,-,-,1
CERVICATI,42,1,-,-,1
CERZETO,48,-,-,-,3
CETRARO,194,3,-,-,21
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,-
COLOSIMI,15,-,-,-,3
CORIGLIANO-ROSSANO,3846,80,1,8,84
COSENZA,2239,53,1,9,145
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,5
DIAMANTE,65,2,-,-,2
DIPIGNANO,132,4,-,1,5
DOMANICO,54,-,-,-,1
FAGNANO CASTELLO,51,3,-,-,4
FALCONARA ALBANESE,22,1,-,-,-
