Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,19,-,-,-,11
ACQUAPPESA,13,1,-,-,4
ACRI,839,15,-,5,12
AIELLO CALABRO,14,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,202,2,-,-,5
ALTRA ASP,81,5,-,3,4
ALTRA REGIONE,23,2,-,-,-
AMANTEA,294,5,-,-,5
AMENDOLARA,22,-,-,-,1
APRIGLIANO,53,8,-,-,1
BELMONTE CALABRO,37,-,-,-,10
BELSITO,29,1,-,-,5
BELVEDERE MARITTIMO,214,4,-,1,18
BIANCHI,25,1,-,-,1
BISIGNANO,514,10,-,1,21
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,15,-,-,-,2
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,2
CALOVETO,52,-,-,2,4
CAMPANA,129,3,-,1,2
CANNA,3,-,-,-,3
CARIATI,230,5,-,-,14
CAROLEI,55,-,-,1,2
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,277,13,-,-,9
CASSANO ALLO IONIO,850,15,1,4,63
CASTIGLIONE COSENTINO,104,3,-,-,21
CASTROLIBERO,263,5,-,3,14
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,526,11,-,-,17
CELICO,148,6,-,1,3
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,35,2,-,-,1
CERISANO,64,-,-,-,2
CERVICATI,42,1,-,-,2
CERZETO,48,-,-,-,3
CETRARO,189,3,-,1,37
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,1
COLOSIMI,14,-,-,-,2
CORIGLIANO-ROSSANO,3824,79,1,6,98
COSENZA,2207,49,-,20,175
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,9
DIAMANTE,65,2,-,-,2
DIPIGNANO,130,4,-,1,3
DOMANICO,54,-,-,1,8
FAGNANO CASTELLO,47,3,-,-,-
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,40,-,-,1,-
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,1,2
FRANCAVILLA MARITTIMA,73,4,-,-,26
FRASCINETO,64,2,-,-,1
FUSCALDO,201,-,-,-,36
GRIMALDI,32,-,-,1,10
GRISOLIA,23,-,-,1,2
GUARDIA PIEMONTESE,46,1,-,1,15
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,1
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,3,-,1,6
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,1,-
LUNGRO,46,3,1,-,8
LUZZI,324,7,-,-,21
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,-
MALVITO,31,2,-,1,1
MANDATORICCIO,110,2,-,2,13
MANGONE,88,2,-,-,6
MARANO MARCHESATO,107,5,-,-,12
MARANO PRINCIPATO,96,-,-,-,9
MARZI,35,2,-,-,-
MENDICINO,286,-,-,2,18
