Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,13,1,-,-,-
ACRI,850,15,-,1,2
AIELLO CALABRO,15,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,218,2,-,1,12
ALTRA ASP,82,5,-,1,1
ALTRA REGIONE,23,2,-,-,-
AMANTEA,300,5,-,-,1
AMENDOLARA,22,-,-,-,-
APRIGLIANO,61,8,-,-,5
BELMONTE CALABRO,37,-,-,-,-
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,219,4,-,-,5
BIANCHI,25,1,-,-,-
BISIGNANO,522,10,-,-,2
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,25,1,-,-,7
BUONVICINO,24,1,1,-,2
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,129,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,232,6,-,2,-
CAROLEI,56,-,-,-,-
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,282,13,-,-,4
CASSANO ALLO IONIO,854,17,-,1,1
CASTIGLIONE COSENTINO,105,3,-,-,1
CASTROLIBERO,274,5,-,-,11
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,527,11,-,-,-
CELICO,171,6,-,2,19
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,42,2,-,-,5
CERISANO,66,-,-,-,1
CERVICATI,45,1,-,1,1
CERZETO,48,-,-,-,-
CETRARO,199,3,-,1,7
CIVITA,10,-,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,15,-,-,-,-
CORIGLIANO-ROSSANO,3945,81,-,4,93
COSENZA,2295,54,1,4,83
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,-
DIAMANTE,65,2,-,-,-
DIPIGNANO,133,4,-,-,5
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,51,3,-,-,2
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,1
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,-,-
FRANCAVILLA MARITTIMA,83,4,-,-,5
FRASCINETO,64,2,-,-,-
FUSCALDO,219,-,-,-,5
GRIMALDI,38,-,-,-,4
GRISOLIA,23,-,-,-,-
GUARDIA PIEMONTESE,47,1,-,-,-
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,4,-,-,-
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,56,4,-,-,2
LUZZI,334,7,-,1,8
MAIERA',23,-,-,-,4
MALITO,21,1,-,-,-
MALVITO,31,2,-,-,-
MANDATORICCIO,111,2,-,-,1
MANGONE,91,2,-,-,-
MARANO MARCHESATO,111,5,-,-,4
MARANO PRINCIPATO,101,-,-,-,5
MARZI,35,2,-,-,-
MENDICINO,292,1,-,1,4
MONGRASSANO,56,2,-,-,1
MONTALTO UFFUGO,712,8,-,1,9
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,96,4,-,-,1
MORMANNO,119,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,-,1
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,300,9,-,-,1
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,1
PEDIVIGLIANO,77,-,-,1,2
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,-
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,-
RENDE,1337,27,-,1,26
ROCCA IMPERIALE,141,1,-,-,-
ROGGIANO GRAVINA,187,5,-,1,-
ROGLIANO,194,4,-,-,2
ROSE,222,5,-,-,3
ROSETO CAPO SPULICO,31,-,1,-,-
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,41,-,-,-,-
SAN DONATO DI NINEA,27,5,-,-,-
SAN FILI,54,1,-,-,1
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,868,26,-,-,5
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,86,-,-,-,14
SAN LUCIDO,160,5,-,-,-
SAN MARCO ARGENTANO,137,4,-,-,6
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,113,5,-,-,3
SAN SOSTI,87,6,-,-,-
SAN VINCENZO LA COSTA,42,4,-,-,-
SANGINETO,23,-,-,-,-
SANTA CATERINA ALBANESE,12,-,-,-,-
SANTA DOMENICA TALAO,16,-,-,-,-
SANTA MARIA DEL CEDRO,79,3,-,-,5
SANTA SOFIA D'EPIRO,75,2,-,1,1
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,82,1,-,1,1
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,169,3,-,-,19
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,209,8,-,-,4
SPEZZANO DELLA SILA,190,10,-,-,1
TARSIA,31,1,-,-,-
TERRANOVA DA SIBARI,273,7,-,-,7
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,1
TORTORA,192,1,-,-,11
TREBISACCE,143,6,-,-,1
VACCARIZZO ALBANESE,35,1,-,-,2
VERBICARO,99,2,-,1,23
VILLAPIANA,95,-,-,1,-
ZUMPANO,145,3,-,-,1
