Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,-,-,-,2
ACQUAPPESA,13,1,-,-,-
ACRI,847,15,-,4,9
AIELLO CALABRO,15,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,204,2,-,-,2
ALTRA ASP,81,5,-,1,4
ALTRA REGIONE,23,2,-,-,-
AMANTEA,300,5,-,-,7
AMENDOLARA,22,-,-,-,-
APRIGLIANO,57,8,-,-,5
BELMONTE CALABRO,37,-,-,-,1
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,217,4,-,-,11
BIANCHI,25,1,-,-,-
BISIGNANO,522,10,-,1,12
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,24,1,-,-,8
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,129,3,-,1,-
CANNA,3,-,-,-,-
CARIATI,232,5,-,2,2
CAROLEI,56,-,-,-,3
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,281,13,-,1,4
CASSANO ALLO IONIO,854,16,-,1,22
CASTIGLIONE COSENTINO,105,3,-,-,15
CASTROLIBERO,272,5,-,1,11
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,527,11,-,-,4
CELICO,153,6,-,1,6
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,41,2,-,1,4
CERISANO,65,-,-,-,1
CERVICATI,42,1,-,-,1
CERZETO,48,-,-,-,-
CETRARO,195,3,-,-,13
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,-
COLOSIMI,15,-,-,-,3
CORIGLIANO-ROSSANO,3864,81,1,6,74
COSENZA,2274,54,1,8,126
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,-
DIAMANTE,65,2,-,-,1
DIPIGNANO,133,4,-,-,6
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,51,3,-,-,4
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,3
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,-,1
FRANCAVILLA MARITTIMA,82,4,-,-,30
FRASCINETO,64,2,-,-,-
FUSCALDO,219,-,-,-,38
GRIMALDI,38,-,-,-,16
GRISOLIA,23,-,-,1,1
GUARDIA PIEMONTESE,47,1,-,-,6
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,3,1,-,4
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,54,4,-,-,10
LUZZI,334,7,-,-,27
MAIERA',19,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,31,2,-,-,1
MANDATORICCIO,111,2,-,1,1
MANGONE,90,2,-,-,3
MARANO MARCHESATO,108,5,-,-,4
MARANO PRINCIPATO,97,-,-,-,3
MARZI,35,2,-,-,-
MENDICINO,290,-,-,1,8
MONGRASSANO,55,2,-,1,2
MONTALTO UFFUGO,712,8,-,2,42
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,96,4,-,-,1
MORMANNO,119,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,5,-,-,-,2
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,297,8,-,-,11
