Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,1,-,-,-
ACQUAPPESA,13,1,-,-,-
ACRI,850,15,-,1,6
AIELLO CALABRO,15,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,-
ALTOMONTE,217,2,-,-,14
ALTRA ASP,82,5,-,1,1
ALTRA REGIONE,23,2,-,-,-
AMANTEA,300,5,-,-,2
AMENDOLARA,22,-,-,-,-
APRIGLIANO,60,8,-,-,7
BELMONTE CALABRO,37,-,-,-,1
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,218,4,-,-,5
BIANCHI,25,1,-,-,-
BISIGNANO,522,10,-,-,3
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,25,1,-,-,8
BUONVICINO,24,1,1,-,2
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,129,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,232,6,-,2,-
CAROLEI,56,-,-,-,1
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,282,13,-,-,5
CASSANO ALLO IONIO,854,17,-,1,1
CASTIGLIONE COSENTINO,105,3,-,-,5
CASTROLIBERO,274,5,-,1,11
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,527,11,-,-,1
CELICO,171,6,-,2,21
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,42,2,-,-,5
CERISANO,65,-,-,-,1
CERVICATI,44,1,-,-,2
CERZETO,48,-,-,-,-
CETRARO,198,3,-,-,7
CIVITA,10,-,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,15,-,-,-,1
CORIGLIANO-ROSSANO,3930,81,-,4,98
COSENZA,2292,54,1,5,93
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,-
DIAMANTE,65,2,-,-,-
DIPIGNANO,133,4,-,-,5
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,51,3,-,-,3
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,1
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,-,-
FRANCAVILLA MARITTIMA,83,4,-,-,6
FRASCINETO,64,2,-,-,-
FUSCALDO,219,-,-,-,12
GRIMALDI,38,-,-,-,4
GRISOLIA,23,-,-,-,-
GUARDIA PIEMONTESE,47,1,-,-,1
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,4,-,-,-
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,56,4,-,-,5
LUZZI,334,7,-,-,9
MAIERA',23,-,-,-,4
MALITO,21,1,-,-,-
MALVITO,31,2,-,-,-
MANDATORICCIO,111,2,-,-,1
MANGONE,91,2,-,-,-
MARANO MARCHESATO,108,5,-,-,1
MARANO PRINCIPATO,101,-,-,-,5
MARZI,35,2,-,-,-
MENDICINO,292,1,-,1,6
MONGRASSANO,56,2,-,-,2
MONTALTO UFFUGO,712,8,-,1,18
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,96,4,-,-,1
MORMANNO,119,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,-,1
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,300,9,-,-,2
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,1
PEDIVIGLIANO,77,-,-,1,5
PIANE CRATI,60,1,-,-,-
PIETRAFITTA,20,-,-,-,1
PIETRAPAOLA,46,2,-,-,-
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,-
RENDE,1335,27,-,1,46
ROCCA IMPERIALE,141,1,-,-,-
ROGGIANO GRAVINA,187,5,-,1,-
ROGLIANO,194,4,-,-,3
ROSE,221,5,-,-,2
ROSETO CAPO SPULICO,31,-,1,-,-
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,-
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,-,-
SAN DEMETRIO CORONE,41,-,-,-,-
SAN DONATO DI NINEA,27,5,-,-,-
SAN FILI,54,1,-,-,1
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,868,26,-,-,5
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,83,-,-,1,11
SAN LUCIDO,160,5,-,-,3
SAN MARCO ARGENTANO,137,4,-,-,6
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,113,5,-,-,3
SAN SOSTI,87,6,-,-,-
SAN VINCENZO LA COSTA,42,4,-,-,-
SANGINETO,23,-,-,-,1
SANTA CATERINA ALBANESE,12,-,-,-,2
SANTA DOMENICA TALAO,16,-,-,-,-
SANTA MARIA DEL CEDRO,76,3,-,-,6
SANTA SOFIA D'EPIRO,75,2,-,1,3
SANT'AGATA DI ESARO,40,2,-,-,-
SANTO STEFANO DI ROGLIANO,82,1,-,1,1
SARACENA,38,2,-,-,-
SCALA COELI,20,5,-,-,-
SCALEA,169,3,-,1,25
SCIGLIANO,8,-,-,-,-
SERRA D'AIELLO,3,-,-,-,-
SPEZZANO ALBANESE,209,8,-,-,6
SPEZZANO DELLA SILA,190,10,-,-,1
TARSIA,31,1,-,-,-
TERRANOVA DA SIBARI,273,7,-,-,10
TERRAVECCHIA,5,-,-,-,-
TORANO CASTELLO,254,14,-,-,3
TORTORA,192,1,-,-,13
TREBISACCE,143,6,-,-,5
VACCARIZZO ALBANESE,35,1,-,-,2
VERBICARO,99,2,-,1,28
VILLAPIANA,95,-,-,1,-
ZUMPANO,145,3,-,-,2
