Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,-,-,-,5
ACQUAPPESA,13,1,-,-,-
ACRI,847,15,-,4,10
AIELLO CALABRO,15,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,204,2,-,-,3
ALTRA ASP,82,5,-,1,6
ALTRA REGIONE,23,2,-,-,-
AMANTEA,300,5,-,-,7
AMENDOLARA,22,-,-,-,1
APRIGLIANO,57,8,-,-,5
BELMONTE CALABRO,37,-,-,-,6
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,217,4,-,-,14
BIANCHI,25,1,-,-,-
BISIGNANO,522,10,-,1,16
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,24,-,1,-,8
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,5
CAMPANA,129,3,-,1,-
CANNA,3,-,-,-,-
CARIATI,232,5,-,2,6
CAROLEI,56,-,-,-,3
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,279,13,-,1,4
CASSANO ALLO IONIO,853,16,-,2,22
CASTIGLIONE COSENTINO,105,3,-,-,15
CASTROLIBERO,272,5,-,2,13
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,527,11,-,-,6
CELICO,153,6,-,1,6
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,41,2,-,1,4
CERISANO,65,-,-,-,2
CERVICATI,42,1,-,-,1
CERZETO,48,-,-,-,-
CETRARO,195,3,-,-,22
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,-
COLOSIMI,15,-,-,-,3
CORIGLIANO-ROSSANO,3853,80,-,8,88
COSENZA,2266,53,1,10,154
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,-
DIAMANTE,65,2,-,-,2
DIPIGNANO,133,4,-,-,6
DOMANICO,54,-,-,-,1
FAGNANO CASTELLO,51,3,-,-,4
FALCONARA ALBANESE,22,1,-,-,-
