Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,19,-,-,-,11
ACQUAPPESA,13,1,-,-,1
ACRI,841,15,-,4,13
AIELLO CALABRO,15,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,1
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,4
ALTOMONTE,203,2,-,-,6
ALTRA ASP,81,5,-,3,4
ALTRA REGIONE,23,2,-,-,-
AMANTEA,299,5,-,-,9
AMENDOLARA,22,-,-,-,1
APRIGLIANO,53,8,-,-,1
BELMONTE CALABRO,37,-,-,-,10
BELSITO,29,1,-,-,5
BELVEDERE MARITTIMO,215,4,-,-,15
BIANCHI,25,1,-,-,-
BISIGNANO,514,10,-,1,19
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,16,-,-,-,2
BUONVICINO,21,1,-,-,-
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,2,4
CAMPANA,129,3,-,1,2
CANNA,3,-,-,-,3
CARIATI,230,5,-,-,10
CAROLEI,55,-,-,1,2
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,277,13,-,1,7
CASSANO ALLO IONIO,852,15,1,3,56
CASTIGLIONE COSENTINO,104,3,-,-,17
CASTROLIBERO,267,5,-,2,14
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,526,11,-,-,10
CELICO,148,6,-,1,3
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,37,2,-,1,1
CERISANO,64,-,-,-,1
CERVICATI,42,1,-,-,2
CERZETO,48,-,-,-,3
CETRARO,189,3,-,1,29
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,-
COLOSIMI,15,-,-,-,3
CORIGLIANO-ROSSANO,3834,79,1,7,95
COSENZA,2227,51,1,15,177
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,8
DIAMANTE,65,2,-,-,2
DIPIGNANO,131,4,-,1,4
DOMANICO,54,-,-,1,3
FAGNANO CASTELLO,51,3,-,-,4
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,40,-,-,-,1
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,1,2
FRANCAVILLA MARITTIMA,73,4,-,-,26
FRASCINETO,64,2,-,-,1
FUSCALDO,216,-,-,-,47
GRIMALDI,38,-,-,-,17
GRISOLIA,23,-,-,1,2
GUARDIA PIEMONTESE,47,1,-,-,13
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,3,-,1,4
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,1,-
LUNGRO,47,3,1,-,9
LUZZI,333,7,-,-,30
MAIERA',19,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,31,2,-,1,-
MANDATORICCIO,111,2,-,2,7
MANGONE,88,2,-,-,6
MARANO MARCHESATO,108,5,-,-,13
MARANO PRINCIPATO,97,-,-,-,10
MARZI,35,2,-,-,-
MENDICINO,287,-,-,2,15
MONGRASSANO,52,2,-,-,2
MONTALTO UFFUGO,701,8,-,3,64
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,95,4,-,-,1
MORMANNO,119,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,4,-,-,1,-
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,295,7,-,-,20
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,16
PATERNO CALABRO,118,-,-,-,1
PEDIVIGLIANO,77,-,-,2,22
PIANE CRATI,60,1,-,-,1
PIETRAFITTA,20,-,-,-,4
PIETRAPAOLA,46,2,-,-,2
PLATACI,2,-,-,-,-
PRAIA A MARE,119,4,-,-,4
RENDE,1315,26,-,4,100
ROCCA IMPERIALE,141,1,-,-,2
ROGGIANO GRAVINA,184,5,-,1,14
ROGLIANO,193,4,-,-,21
ROSE,219,5,-,1,5
ROSETO CAPO SPULICO,31,-,1,-,2
ROTA GRECA,35,3,-,-,-
ROVITO,108,1,-,-,1
SAN BASILE,12,-,-,-,-
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,41,-,-,-,3
SAN DONATO DI NINEA,26,4,-,-,5
SAN FILI,53,1,-,-,-
SAN GIORGIO ALBANESE,26,2,-,-,-
SAN GIOVANNI IN FIORE,867,26,-,-,2
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,72,-,-,1,3
SAN LUCIDO,159,5,-,-,11
SAN MARCO ARGENTANO,131,4,-,-,14
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,20,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,110,5,-,2,3
SAN SOSTI,87,5,-,1,-
SAN VINCENZO LA COSTA,42,4,-,-,3
