"Comune","A domicilio","Guariti/Dimessi","Deceduti","Ricoverati","Totale casi"
"SPEZZANO DELLA SILA",0,0,0,0,0
"TARSIA",0,0,0,0,0
"TERRANOVA DA SIBARI",2,0,0,0,2
"TERRAVECCHIA",0,0,0,0,0
"TORANO CASTELLO",58,0,0,2,60
"TORTORA",1,0,0,0,1
"TREBISACCE",0,0,0,0,0
"VACCARIZZO ALBANESE",0,0,0,0,0
"VERBICARO",0,0,0,0,0
"VILLAPIANA",0,0,0,0,0
"ZUMPANO",0,0,0,0,0
