COMUNE;A DOMICILIO;DECEDUTI;RICOVERI;GUARITI;Totale complessivo
ALTOMONTE;2;0;1;0;3
AMANTEA;1;1;1;0;3
BELSITO;3;0;1;0;4
BOCCHIGLIERO;17;0;3;0;20
CARIATI;0;0;3;0;3
CARPANZANO;0;0;1;0;1
CASALI DEL MANCO;0;0;1;0;1
CASSANO ALLO IONIO;2;0;0;0;2
CASTROVILLARI;1;0;0;0;1
CETRARO;2;0;1;0;3
CORIGLIANO-ROSSANO;12;2;12;0;26
COSENZA;7;1;4;0;12
DIPIGNANO;0;0;1;0;1
FRANCAVILLA MARITTIMA;1;1;1;0;3
FRASCINETO;1;0;0;0;1
FUSCALDO;0;0;2;0;2
GRISOLIA;0;0;0;0;0
MANGONE;1;0;0;0;1
MARZI;1;0;3;0;4
MENDICINO;1;0;0;0;1
ORIOLO CALABRO;0;0;1;0;1
PALUDI;0;0;0;0;0
PAOLA;2;1;2;0;5
PRAIA A MARE;0;0;1;0;1
RENDE;0;2;1;0;3
ROGGIANO GRAVI0;0;0;2;0;2
ROGLIANO;21;0;8;0;29
SAN LUCIDO;33;4;4;1;42
SANTA MARIA DEL CEDRO;0;0;1;0;1
SANTO STEFANO DI ROGLIANO;3;0;1;1;5
SCALA COELI;2;0;1;0;3
TERRANOVA DA SIBARI;2;0;0;0;2
TORTORA;1;0;0;0;1
