Data;Terapie intensive per settimana
10 - 16 mar;2
17 - 23 mar;5
24 - 30 mar;5
31 mar - 6 apr;5
7 - 13 apr;3
14 - 20 apr;2
21 - 27 apr;3
28 apr - 4 mag;2
5 - 11 mag;1
12 - 18 mag;1
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;0
15 - 21 set;0
22 - 28 set;0
29 set - 5 ott;1
6 - 12 ott;0
13 - 19 ott;1
20 - 26 ott;3
27 ott - 2 nov;5
3 - 9 nov;5
10 - 16 nov;9
17 - 23 nov;13
24 - 30 nov;10
1 - 7 dic;9
8 - 14 dic;9
15 - 21 dic;9
22 - 28 dic;4
29 dic - 4 gen;7
5 -11 gen;6
12 - 18 gen;7
19 - 25 gen;6
26 gen - 1 feb;9
2 - 8 feb;11
9 - 15 feb;8
16 - 22 feb;8
23 feb - 1 mar;8
2 - 8 mar;9
9 - 15 mar;7
16 - 22 mar;7
23 - 29 mar;8
30 mar - 5 apr;8
6 - 12 apr;8
13 - 19 apr;10
20 - 26 apr;10
27 apr - 3 mag;8
4 - 10 mag;8
11 - 17 mag;9
18 - 24 mag;9
25 - 31 mag;7
1 - 7 giu;7
