"Comune","A domicilio","Guariti/Dimessi","Deceduti","Ricoverati","Totale casi"
"SPEZZANO DELLA SILA",0,0,0,0,0
"TARSIA",0,0,0,0,0
"TERRANOVA DA SIBARI",1,0,2,0,3
"TERRAVECCHIA",0,0,0,0,0
"TORANO CASTELLO",70,5,2,2,79
"TORTORA",1,0,0,0,1
"TREBISACCE",1,0,0,0,1
"VACCARIZZO ALBANESE",0,0,0,0,0
"VERBICARO",0,0,0,0,0
"VILLAPIANA",3,0,0,0,3
"ZUMPANO",0,0,0,0,0
