Settimana del;Alpha;Beta;Gamma;Eta;Delta;Kappa;Iota
28 set - 4 ott;0;0;0;0;0;0;0
5 - 11 ott;2,3;0;0;0;0;0;0
12 - 18 ott;1,5;0;0;0;0;0;0
19 - 25 ott;3,7;0;0;0;0;0;0
26 ott - 1 nov;0,4;0;0;0;0;0;0
2 - 8 nov;0,8;0;0;0;0;0;0
9 - 15 nov;1,4;0;0;0;0;0;0
16 - 22 nov;1,2;0;0;0;0;0;0
23 - 29 nov;0;0;0;0;0;0;0
30 nov - 6 dic;3;0;0;0;0;0;0
7 - 13 dic;3,5;0;0;0;0;0;0
14 - 20 dic;5,2;0;0;0,2;0;0;0
21 - 27 dic;13;0;0;0;0;0;0
28 dic - 3 gen;31,4;0;0;0;0;0;0
4 - 10 gen;26,1;0;0,7;0,3;0;0;0
11 - 17 gen;10,4;0;0,4;0;0;0;0
18 - 24 gen;33,8;0;1,9;0;0;0;0
25 - 31 gen;45,9;2,7;2,7;0;0;0;0
1 - 7 feb;52,6;0;4,9;0,5;0;0;0
8 - 14 feb;41,6;0,5;3;0,4;0;0;0
15 - 21 feb;43,8;0,3;4,6;0,4;0;0;0
22 - 28 feb;59,8;0,2;2,7;0,4;0;0;0
1 - 7 mar;72,1;0;4,3;1,3;0;0;0
8 - 14 mar;76,6;0,2;3,3;1,6;0;0;0
15 - 21 mar;79,7;0,4;3,2;1,8;0;0;0
22 - 28 mar;84,9;0,3;4;1,8;0;0,1;0
29 mar - 4 apr;87,3;0,1;3,5;1,2;0,1;0;0
5 - 11 apr;87,9;0,3;5,3;1;0,1;0;0,1
12 - 18 apr;89;0,2;4,5;1,6;0,2;0,1;0
19 - 25 apr;84,2;0,2;5;1,9;0,7;0;0
26 apr - 2 mag;82,5;0,4;5,5;2,8;4;0,2;0,1
3 - 9 mag;81,3;0,4;7,3;0,8;5,7;0,2;0,2
10 - 16 mag;75,7;0,7;15;0,5;3,4;0;0
17 - 23 mag;78,6;0,3;11,8;1,4;2,7;0,1;0
24 - 30 mag;68,6;0;13,9;0,8;13,1;0,2;0
31 mag - 6 giu;69,4;0,2;16,4;0,3;8,9;0;0
7 - 13 giu;51,1;0;13,7;3,5;23,4;0;0
14 - 20 giu;43,8;0,3;15,5;0;32,5;0;0
21 - 27 giu;48,8;0;12,3;0,6;28,6;0;0
28 giu - 4 lug;45,6;0;5,9;1,5;32,4;0;0
