Data;Terapie intensive per settimana
10 - 16 mar;2
17 - 23 mar;11
24 - 30 mar;10
31 mar - 6 apr;7
7 - 13 apr;5
14 - 20 apr;2
21 - 27 apr;2
28 apr - 4 mag;2
5 - 11 mag;0
12 - 18 mag;1
19 - 25 mag;1
26 mag - 1 giu;1
2 - 8 giu;0
9 - 15 giu;1
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;1
18 - 24 ago;1
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;0
15 - 21 set;1
22 - 28 set;2
29 set - 5 ott;1
6 - 12 ott;1
13 - 19 ott;3
20 - 26 ott;3
27 ott - 2 nov;4
3 - 9 nov;8
10 - 16 nov;17
17 - 23 nov;17
24 - 30 nov;14
1 - 7 dic;4
8 - 14 dic;3
15 - 21 dic;4
22 - 28 dic;5
29 dic - 4 gen;6
5 -11 gen;9
12 - 18 gen;7
19 - 25 gen;5
26 gen - 1 feb;4
2 - 8 feb;5
9 - 15 feb;6
16 - 22 feb;5
23 feb - 1 mar;7
2 - 8 mar;12
9 - 15 mar;8
16 - 22 mar;13
23 - 29 mar;13
30 mar - 5 apr;13
6 - 12 apr;15
13 - 19 apr;18
20 - 26 apr;16
27 apr - 3 mag;11
4 - 10 mag;8
11 - 17 mag;7
18 - 24 mag;9
25 - 31 mag;4
1 - 7 giu;4
