COMUNE;A DOMICILIO;DECEDUTI;RICOVERI;GUARITI;Totale complessivo
ALTOMONTE;2;0;1;0;3
AMANTEA;2;0;1;0;3
BELSITO;0;0;1;0;1
BOCCHIGLIERO;19;0;2;0;21
CARIATI;0;0;3;0;3
CARPANZANO;1;0;0;0;1
CASALI DEL MANCO;0;0;0;0;0
CASSANO ALLO IONIO;0;0;0;0;0
CASTROVILLARI;0;0;0;0;0
CETRARO;2;0;1;0;3
CORIGLIANO-ROSSANO;6;1;13;0;20
COSENZA;5;1;4;0;10
DIPIGNANO;1;0;0;0;1
FRANCAVILLA MARITTIMA;0;1;1;0;2
FRASCINETO;0;0;0;0;0
FUSCALDO;0;0;1;0;1
GRISOLIA;0;0;0;0;0
MANGONE;1;0;0;0;1
MARZI;1;0;0;0;1
MENDICINO;1;0;0;0;1
ORIOLO CALABRO;0;0;0;0;0
PALUDI;0;0;0;0;0
PAOLA;1;1;1;0;3
PRAIA A MARE;0;0;0;0;0
RENDE;0;1;2;0;3
ROGGIANO GRAVI0;0;0;2;0;2
ROGLIANO;9;0;6;0;15
SAN LUCIDO;16;3;4;0;23
SANTA MARIA DEL CEDRO;0;0;1;0;1
SANTO STEFANO DI ROGLIANO;3;0;2;0;5
SCALA COELI;1;0;1;0;2
TERRANOVA DA SIBARI;2;0;0;0;2
TORTORA;0;0;0;0;0
