"Comune","A domicilio","Deceduti","Guariti/Dimessi","Ricoverati","Totale casi"
"SPEZZANO DELLA SILA",10,0,0,1,11
"TARSIA",0,0,0,0,0
"TERRANOVA DA SIBARI",0,0,3,0,3
"TERRAVECCHIA",0,0,0,0,0
"TORANO CASTELLO",2,6,73,1,82
"TORTORA",0,0,2,0,2
"TREBISACCE",2,0,1,0,3
"VACCARIZZO ALBANESE",0,0,0,0,0
"VERBICARO",1,0,0,0,1
"VILLAPIANA",1,0,4,0,5
"ZUMPANO",0,0,0,0,0
