COMUNE;A DOMICILIO;DECEDUTI;RICOVERI;GUARITI;Totale complessivo
ALTOMONTE;2;0;1;0;3
AMANTEA;2;0;1;0;3
BELSITO;0;0;1;0;1
BOCCHIGLIERO;2;0;0;0;2
CARIATI;0;0;3;0;3
CARPANZANO;0;0;0;0;0
CASALI DEL MANCO;0;0;0;0;0
CASSANO ALLO IONIO;0;0;0;0;0
CASTROVILLARI;0;0;0;0;0
CETRARO;1;0;1;0;2
CORIGLIANO-ROSSANO;4;0;10;0;14
COSENZA;2;0;5;0;7
DIPIGNANO;0;0;0;0;0
FRANCAVILLA MARITTIMA;0;0;1;0;1
FRASCINETO;0;0;0;0;0
FUSCALDO;0;0;1;0;1
GRISOLIA;0;0;1;0;1
MANGONE;1;0;0;0;1
MARZI;1;0;0;0;1
MENDICINO;1;0;0;0;1
ORIOLO CALABRO;0;0;0;0;0
PALUDI;0;0;1;0;1
PAOLA;1;1;1;0;3
PRAIA A MARE ;0;0;0;0;0
RENDE;0;0;3;0;3
ROGGIANO GRAVI0;0;0;2;0;2
ROGLIANO;4;0;5;0;9
SAN LUCIDO;6;2;5;0;13
SANTA MARIA DEL CEDRO;0;0;0;0;0
SANTO STEFANO DI ROGLIA;3;0;2;0;5
SCALA COELI;0;0;1;0;1
TERRANOVA DA SIBARI;2;0;0;0;2
TORTORA;0;0;0;0;0
